P1;1;5;6;
P2;1;5;6;
P3;1;4;6;
P4;1;4;6;
P5;1;3;7;
P6;2;4;7;
P7;2;5;7;
P8;2;3;7;
P9;1;5;7;
P10;2;5;7;
P11;2;5;6;
P12;1;4;7;
P13;1;5;7;
P14;2;5;6;
P15;1;4;6;
P16;2;5;6;
P17;1;3;7;
P18;1;5;7;
P19;1;5;7;
P20;2;3;6;
P21;1;3;7;
P22;2;3;6;
P23;2;3;7;
P24;1;5;6;
P25;2;4;6;
P26;1;5;7;
P27;1;5;7;
P28;1;4;6;
P29;2;3;6;
P30;2;5;6;
P31;2;4;6;
P32;2;3;7;
P33;1;3;7;
P34;1;3;7;
P35;2;3;7;
P36;2;5;6;
P37;1;4;7;
P38;2;3;7;
P39;2;3;7;
P40;1;3;7;
P41;2;4;7;
P42;1;5;6;
P43;1;5;6;
P44;2;5;6;
P45;2;3;6;
P46;1;5;6;
P47;2;3;6;
P48;2;4;7;
P49;1;5;6;
P50;1;3;7;
P51;2;4;6;
P52;2;3;7;
P53;1;4;7;
P54;2;5;6;
P55;1;4;7;
P56;2;5;6;
P57;2;4;7;
P58;1;3;7;
P59;2;4;7;
P60;2;4;7;
P61;1;3;6;
P62;1;3;7;
P63;1;3;7;
P64;2;4;7;
P65;1;5;6;
P66;1;5;6;
P67;2;3;7;
P68;1;5;6;
P69;1;5;6;
P70;1;5;6;
P71;2;5;6;
P72;1;4;7;
P73;2;4;6;
P74;1;5;7;
P75;1;5;6;
P76;1;3;7;
P77;2;5;6;
P78;1;3;6;
P79;2;3;7;
P80;2;3;7;
P81;1;5;6;
P82;2;5;7;
P83;1;4;7;
P84;1;5;6;
P85;1;5;6;
P86;1;4;7;
P87;1;3;7;
P88;2;4;6;
P89;2;3;6;
P90;2;5;7;
P91;2;3;6;
P92;1;4;6;
P93;1;5;7;
P94;1;4;6;
P95;1;4;6;
