Family;Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
5.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.75;0.75;0.0;0.0;0.875;0.125;0.0;0.0
2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.75;0.0;1.0;0.5;1.5;0.0;0.0;0.8571428571428571;0.07142857142857142;0.07142857142857142;0.0
2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.5;1.5;1.0;0.0;1.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;1.0
4.0;0.0;0.0;0.0;1.0;0.0;1.0;0.75;1.0;0.0;1.0;0.75;1.0;0.0;0.0;0.9411764705882353;0.0;0.058823529411764705;0.0
1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.5;0.5;0.0;1.0;1.0;0.0;0.0;0.0
3.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.5;0.0;1.0;0.0;2.0;0.0;0.0;0.8823529411764706;0.0;0.11764705882352941;1.0
3.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;1.0;0.9285714285714286;0.07142857142857142;0.0;1.0
2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.5;1.5;0.0;0.0;1.0;0.0;0.0;0.0
2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.5;1.5;1.0;0.0;0.75;0.25;0.0;0.0
4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.75;1.0;0.0;0.0;0.8666666666666667;0.13333333333333333;0.0;0.0
4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.6666666666666666;0.0;1.0;0.6666666666666666;1.3333333333333333;1.0;0.0;0.8461538461538461;0.0;0.15384615384615385;0.0
5.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.5;0.0;1.0;0.75;0.75;0.0;0.0;0.8636363636363636;0.0;0.13636363636363635;1.0
5.0;1.0;1.0;0.0;1.0;0.0;1.0;0.6666666666666666;0.625;0.0;1.0;1.0;0.6666666666666666;0.0;1.0;0.76;0.0;0.24;1.0
4.0;0.0;1.0;0.0;1.0;0.0;1.0;0.5;0.8;0.0;1.0;0.6666666666666666;1.3333333333333333;1.0;0.0;0.7391304347826086;0.0;0.2608695652173913;0.0
3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.5;0.75;0.0;1.0;0.0;2.0;0.0;0.0;0.9166666666666666;0.0;0.08333333333333333;1.0
1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.6666666666666666;0.0;0.0;0.9666666666666667;0.03333333333333333;0.0;1.0
