P1;1;4;7;Unnamed: 4
P2;2;5;6;
P3;1;5;6;
P4;1;5;7;
P5;1;5;7;
P6;2;5;6;
P7;2;5;6;
P8;1;5;7;
P9;2;5;6;
P10;2;5;6;
P11;1;5;7;
P12;2;5;7;
P13;2;5;6;
P14;1;3;7;
P15;2;5;6;
P16;1;5;6;
P17;2;5;6;
P18;2;5;6;
P19;1;5;7;
P20;2;3;7;
P21;2;5;7;
P22;1;5;7;
P23;1;5;6;
P24;2;3;7;
P25;2;5;7;
P26;1;5;6;
P27;2;5;7;
P28;1;5;6;
P29;1;5;6;
P30;2;5;7;
P31;1;5;6;
P32;1;5;6;
P33;1;5;7;
P34;1;5;6;
P35;1;5;6;
P36;2;5;6;
P37;1;5;6;
P38;2;5;6;
P39;2;5;6;
P40;2;5;7;
P41;1;5;7;
P42;2;5;6;
P43;1;5;7;
P44;2;5;6;
P45;1;5;7;
P46;2;3;6;
P47;2;5;7;
P48;1;5;6;
P49;1;5;6;
P50;1;5;7;
P51;2;5;7;
P52;1;5;7;
P53;2;5;7;
P54;1;5;7;
P55;2;5;6;
P56;2;5;7;
P57;1;5;7;
P58;2;5;6;
P59;1;5;7;
P60;1;5;6;
P61;1;5;6;
P62;1;5;7;
