Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0
0.0;0.0;1.0;1.0;15.0;15.0;1.0;1.0;1.0;1.0;0.9375;0.9375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1
1.0;3.0;0.2162162162162162;1.0;23.0;52.0;0.3833333333333333;0.8666666666666667;1.0;2.260869565217391;0.9375;0.9375;0.0;0.0;0.5;0.3555555555555555;0.1444444444444444;0.0;0.0;1;0
5.0;3.0;1.0;0.5625;63.0;42.0;0.7;0.4666666666666667;1.5;1.0;0.9375;0.9375;0.0;0.0;0.6048387096774194;0.2419354838709677;0.1370967741935483;0.0161290322580645;0.0;1;0
6.0;3.0;1.0;0.3235294117647059;83.0;37.0;0.7904761904761904;0.3523809523809524;2.2432432432432434;1.0;0.9375;0.9375;0.0;0.0;0.5172413793103449;0.3103448275862069;0.1091954022988505;0.0;0.0632183908045977;0;1
8.0;3.0;1.0;0.2692307692307692;119.0;33.0;0.8095238095238095;0.2408759124087591;3.606060606060606;1.0;2.5;0.8333333333333334;0.0;1.0;0.717391304347826;0.1467391304347826;0.0815217391304347;0.0163043478260869;0.0380434782608695;0;1
9.0;4.0;1.0;0.2962962962962963;123.0;37.0;0.7935483870967742;0.2551724137931034;3.324324324324324;1.0;2.5;0.8333333333333334;0.0;1.0;0.7608695652173914;0.1304347826086956;0.0706521739130434;0.0054347826086956;0.0326086956521739;0;1
9.0;2.0;1.0;0.09375;143.0;17.0;0.9225806451612903;0.1172413793103448;8.411764705882353;1.0;2.5;0.8333333333333334;0.0;1.0;0.6796116504854369;0.1601941747572815;0.0970873786407767;0.0;0.0631067961165048;0;1
9.0;3.0;1.0;0.1259842519685039;142.0;21.0;0.8987341772151899;0.1418918918918918;6.761904761904762;1.0;2.5;0.8333333333333334;0.0;1.0;0.7114427860696517;0.1492537313432835;0.0845771144278607;0.0;0.0547263681592039;0;1
12.0;3.0;1.0;0.3129251700680272;162.0;61.0;0.7788461538461539;0.2932692307692308;2.6557377049180326;1.0;0.9375;0.9375;0.0;0.0;0.7338403041825095;0.2129277566539923;0.0228136882129277;0.0;0.0304182509505703;1;0
13.0;5.0;1.0;0.3333333333333333;164.0;68.0;0.7557603686635944;0.2995594713656387;2.411764705882353;1.0;0.8333333333333334;2.5;1.0;0.0;0.7737226277372263;0.2153284671532846;0.0;0.0;0.010948905109489;1;0
13.0;5.0;1.0;0.3018867924528302;164.0;63.0;0.7735849056603774;0.2837837837837837;2.603174603174604;1.0;0.8333333333333334;2.5;1.0;0.0;0.7314487632508834;0.1554770318021201;0.0636042402826855;0.0;0.0494699646643109;1;0
16.0;6.0;1.0;0.2880434782608695;199.0;68.0;0.7896825396825397;0.2698412698412698;2.926470588235294;1.0;0.9375;0.9375;0.0;0.0;0.8229166666666666;0.1215277777777777;0.0486111111111111;0.0069444444444444;0.0;0;1
17.0;6.0;1.0;0.3247422680412371;209.0;68.0;0.7683823529411765;0.2595419847328244;3.073529411764706;1.0;2.5;0.8333333333333334;0.0;1.0;0.8371335504885994;0.1140065146579804;0.022801302931596;0.009771986970684;0.01628664495114;0;1
18.0;10.0;1.0;0.472636815920398;216.0;110.0;0.6945337620578779;0.3536977491961415;1.963636363636364;1.0;0.9375;0.9375;0.0;0.0;0.9192546583850932;0.0434782608695652;0.0;0.0062111801242236;0.031055900621118;0;1
19.0;11.0;1.0;0.5247524752475248;217.0;111.0;0.6718266253869969;0.3546325878594249;1.954954954954955;1.0;2.5;0.8333333333333334;0.0;1.0;0.9032258064516128;0.0527859237536656;0.0087976539589442;0.0;0.0351906158357771;0;1
19.0;11.0;1.0;0.545;215.0;114.0;0.6635802469135802;0.3630573248407643;1.8859649122807016;1.0;2.5;0.8333333333333334;0.0;1.0;0.9035087719298246;0.0701754385964912;0.0029239766081871;0.0;0.023391812865497;0;1
19.0;13.0;1.0;0.7166666666666667;195.0;144.0;0.6018518518518519;0.4444444444444444;1.3541666666666667;1.0;0.9375;0.9375;0.0;0.0;0.9142011834319528;0.0680473372781065;0.014792899408284;0.0029585798816568;0.0;1;0
21.0;12.0;1.0;0.6009852216748769;218.0;137.0;0.6411764705882353;0.4029411764705882;1.5912408759124088;1.0;0.9375;0.9375;0.0;0.0;0.8736559139784946;0.1048387096774193;0.0053763440860215;0.0053763440860215;0.010752688172043;1;0
22.0;12.0;1.0;0.5471698113207547;217.0;131.0;0.6516516516516516;0.3819241982507289;1.6564885496183206;1.0;0.8333333333333334;2.5;1.0;0.0;0.8770053475935828;0.1122994652406417;0.0053475935828877;0.0;0.0053475935828877;1;0
20.0;16.0;1.0;0.7213930348258707;216.0;160.0;0.5983379501385041;0.4432132963988919;1.35;1.0;0.9375;0.9375;0.0;0.0;0.871536523929471;0.070528967254408;0.0403022670025188;0.0;0.017632241813602;0;1
20.0;17.0;1.0;0.7939698492462312;214.0;163.0;0.5752688172043011;0.4502762430939226;1.312883435582822;1.0;2.5;0.8333333333333334;0.0;1.0;0.8225806451612904;0.108294930875576;0.0391705069124423;0.0;0.0299539170506912;0;1
20.0;18.0;1.0;0.8125;207.0;161.0;0.5702479338842975;0.4560906515580736;1.2857142857142858;1.0;2.5;0.8333333333333334;0.0;1.0;0.8613861386138614;0.099009900990099;0.0099009900990099;0.0074257425742574;0.0222772277227722;0;1
19.0;19.0;1.0;0.8359788359788359;204.0;163.0;0.56353591160221;0.4630681818181818;1.2515337423312884;1.0;2.5;0.8333333333333334;0.0;1.0;0.8920308483290489;0.0848329048843187;0.0102827763496143;0.0;0.0128534704370179;0;1
21.0;17.0;1.0;0.7067307692307693;223.0;152.0;0.6027027027027027;0.4222222222222222;1.4671052631578947;1.0;2.5;0.8333333333333334;0.0;1.0;0.8897243107769424;0.0852130325814536;0.025062656641604;0.0;0.0;0;1
22.0;18.0;1.0;0.630901287553648;248.0;152.0;0.6278481012658228;0.3948051948051948;1.631578947368421;1.0;2.5;0.8333333333333334;0.0;1.0;0.8597285067873304;0.1176470588235294;0.0203619909502262;0.002262443438914;0.0;0;1
22.0;19.0;1.0;0.6508620689655172;247.0;156.0;0.6206030150753769;0.4020618556701031;1.5833333333333333;1.0;2.5;0.8333333333333334;0.0;1.0;0.8645598194130926;0.110609480812641;0.0180586907449209;0.0067720090293453;0.0;0;1
23.0;19.0;1.0;0.6293103448275862;247.0;151.0;0.628498727735369;0.3942558746736292;1.6357615894039734;1.0;2.5;0.8333333333333334;0.0;1.0;0.84375;0.0959821428571428;0.0267857142857142;0.0044642857142857;0.0290178571428571;0;1
