# ('scenarios/K0/', 'solution/K0_best/', 's7.csv', 'Best_GA_Solution_null_fixed_100P5F_60T28U_1_s7.csv.csv', {'id': 1, 'cells': [{'id': 1, 'resources': [{'id': 1, 'process_times': [10, 8, 12, 11, 9], 'setup_times': [2, 5, 12, 19, 8]}, {'id': 2, 'process_times': [12, 10, 14, 7, 16], 'setup_times': [4, 11, 28, 12, 20]}]}, {'id': 2, 'resources': [{'id': 1, 'process_times': [2, 4, 4, 2, 7], 'setup_times': [10, 18, 12, 22, 15]}, {'id': 2, 'process_times': [7, 6, 6, 6, 4], 'setup_times': [12, 14, 20, 17, 22]}, {'id': 3, 'process_times': [3, 2, 6, 6, 2], 'setup_times': [20, 18, 16, 16, 12]}]}, {'id': 3, 'resources': [{'id': 1, 'process_times': [10, 8, 12, 11, 9], 'setup_times': [19, 20, 24, 18, 15]}, {'id': 2, 'process_times': [8, 12, 10, 8, 14], 'setup_times': [15, 28, 24, 20, 19]}]}]}, 3, 150, 225, None)
iteration,meilleur_voisin_courant,meilleur_voisin_global
0,623.6020408163265,623.6020408163265
1,599.6632653061224,599.6632653061224
2,588.8979591836735,588.8979591836735
3,578.3163265306123,578.3163265306123
4,571.8775510204082,571.8775510204082
5,565.5510204081633,565.5510204081633
6,557.9081632653061,557.9081632653061
7,549.2551020408164,549.2551020408164
8,543.734693877551,543.734693877551
9,538.234693877551,538.234693877551
10,534.3979591836735,534.3979591836735
11,530.265306122449,530.265306122449
12,527.0714285714286,527.0714285714286
13,521.5918367346939,521.5918367346939
14,515.5714285714286,515.5714285714286
15,512.9183673469388,512.9183673469388
16,510.11224489795916,510.11224489795916
17,508.01020408163265,508.01020408163265
18,505.16326530612247,505.16326530612247
19,504.2959183673469,504.2959183673469
20,501.4183673469388,501.4183673469388
21,500.8265306122449,500.8265306122449
22,500.35714285714283,500.35714285714283
23,498.2448979591837,498.2448979591837
24,497.31632653061223,497.31632653061223
25,496.51020408163265,496.51020408163265
26,496.07142857142856,496.07142857142856
27,495.8061224489796,495.8061224489796
28,495.66326530612247,495.66326530612247
29,495.66326530612247,495.66326530612247
30,495.14285714285717,495.14285714285717
