# ('scenarios/K0/', 'solution/K0_best/', 's17.csv', 'Best_GA_Solution_Classic_1_fixed_100P5F_60T28U_1_s17.csv', {'id': 1, 'cells': [{'id': 1, 'resources': [{'id': 1, 'process_times': [10, 8, 12, 11, 9], 'setup_times': [2, 5, 12, 19, 8]}, {'id': 2, 'process_times': [12, 10, 14, 7, 16], 'setup_times': [4, 11, 28, 12, 20]}]}, {'id': 2, 'resources': [{'id': 1, 'process_times': [2, 4, 4, 2, 7], 'setup_times': [10, 18, 12, 22, 15]}, {'id': 2, 'process_times': [7, 6, 6, 6, 4], 'setup_times': [12, 14, 20, 17, 22]}, {'id': 3, 'process_times': [3, 2, 6, 6, 2], 'setup_times': [20, 18, 16, 16, 12]}]}, {'id': 3, 'resources': [{'id': 1, 'process_times': [10, 8, 12, 11, 9], 'setup_times': [19, 20, 24, 18, 15]}, {'id': 2, 'process_times': [8, 12, 10, 8, 14], 'setup_times': [15, 28, 24, 20, 19]}]}]}, 3, 150, 225, None)
iteration,meilleur_voisin_courant,meilleur_voisin_global
0,581.1157894736842,581.1157894736842
1,566.5894736842105,566.5894736842105
2,557.2210526315789,557.2210526315789
3,549.0,549.0
4,541.2315789473685,541.2315789473685
5,533.6105263157895,533.6105263157895
6,525.9052631578948,525.9052631578948
7,518.8105263157895,518.8105263157895
8,512.4421052631579,512.4421052631579
9,507.22105263157897,507.22105263157897
10,497.7684210526316,497.7684210526316
11,492.17894736842106,492.17894736842106
12,488.58947368421053,488.58947368421053
13,484.46315789473687,484.46315789473687
14,478.0421052631579,478.0421052631579
15,474.4526315789474,474.4526315789474
16,468.88421052631577,468.88421052631577
17,465.62105263157895,465.62105263157895
18,462.69473684210527,462.69473684210527
19,451.8315789473684,451.8315789473684
20,449.4,449.4
21,447.4526315789474,447.4526315789474
22,444.86315789473684,444.86315789473684
23,442.7473684210526,442.7473684210526
24,441.5473684210526,441.5473684210526
25,440.12631578947367,440.12631578947367
26,438.86315789473684,438.86315789473684
27,438.2105263157895,438.2105263157895
28,437.66315789473686,437.66315789473686
29,436.05263157894734,436.05263157894734
30,432.11578947368423,432.11578947368423
31,431.3578947368421,431.3578947368421
32,430.4842105263158,430.4842105263158
33,430.05263157894734,430.05263157894734
34,429.8315789473684,429.8315789473684
35,429.8315789473684,429.8315789473684
36,429.2842105263158,429.2842105263158
37,429.2842105263158,429.2842105263158
38,429.2842105263158,429.2842105263158
39,428.7368421052632,428.7368421052632
40,428.7368421052632,428.7368421052632
41,428.4842105263158,428.4842105263158
42,428.4842105263158,428.4842105263158
43,428.4842105263158,428.4842105263158
44,428.4842105263158,428.4842105263158
45,428.4842105263158,428.4842105263158
46,428.4842105263158,428.4842105263158
47,428.14736842105265,428.14736842105265
48,428.14736842105265,428.14736842105265
49,428.14736842105265,428.14736842105265
50,428.14736842105265,428.14736842105265
51,428.14736842105265,428.14736842105265
52,428.14736842105265,428.14736842105265
53,428.14736842105265,428.14736842105265
54,428.14736842105265,428.14736842105265
55,428.14736842105265,428.14736842105265
56,428.14736842105265,428.14736842105265
57,428.14736842105265,428.14736842105265
58,428.14736842105265,428.14736842105265
59,428.14736842105265,428.14736842105265
60,428.14736842105265,428.14736842105265
61,428.14736842105265,428.14736842105265
62,428.14736842105265,428.14736842105265
63,428.14736842105265,428.14736842105265
64,428.14736842105265,428.14736842105265
65,428.14736842105265,428.14736842105265
66,428.14736842105265,428.14736842105265
67,428.14736842105265,428.14736842105265
68,428.14736842105265,428.14736842105265
69,428.14736842105265,428.14736842105265
70,428.14736842105265,428.14736842105265
71,428.14736842105265,428.14736842105265
72,428.14736842105265,428.14736842105265
73,428.14736842105265,428.14736842105265
74,428.14736842105265,428.14736842105265
75,428.14736842105265,428.14736842105265
76,428.14736842105265,428.14736842105265
77,428.14736842105265,428.14736842105265
78,428.14736842105265,428.14736842105265
79,428.14736842105265,428.14736842105265
80,428.14736842105265,428.14736842105265
81,428.14736842105265,428.14736842105265
82,428.14736842105265,428.14736842105265
83,428.14736842105265,428.14736842105265
84,428.14736842105265,428.14736842105265
85,428.14736842105265,428.14736842105265
86,428.14736842105265,428.14736842105265
87,428.14736842105265,428.14736842105265
88,428.14736842105265,428.14736842105265
89,428.14736842105265,428.14736842105265
90,428.14736842105265,428.14736842105265
91,428.14736842105265,428.14736842105265
92,428.14736842105265,428.14736842105265
93,428.14736842105265,428.14736842105265
94,428.14736842105265,428.14736842105265
95,428.14736842105265,428.14736842105265
96,428.14736842105265,428.14736842105265
97,428.14736842105265,428.14736842105265
98,428.14736842105265,428.14736842105265
99,428.14736842105265,428.14736842105265
100,428.14736842105265,428.14736842105265
101,428.14736842105265,428.14736842105265
102,428.14736842105265,428.14736842105265
103,428.14736842105265,428.14736842105265
104,428.14736842105265,428.14736842105265
105,428.14736842105265,428.14736842105265
106,428.14736842105265,428.14736842105265
107,428.14736842105265,428.14736842105265
108,428.14736842105265,428.14736842105265
109,428.14736842105265,428.14736842105265
110,428.14736842105265,428.14736842105265
111,428.14736842105265,428.14736842105265
112,428.14736842105265,428.14736842105265
113,428.22105263157897,428.14736842105265
114,428.22105263157897,428.14736842105265
115,428.22105263157897,428.14736842105265
116,428.22105263157897,428.14736842105265
117,428.22105263157897,428.14736842105265
118,428.2842105263158,428.14736842105265
119,428.22105263157897,428.14736842105265
120,428.2736842105263,428.14736842105265
121,428.3578947368421,428.14736842105265
122,428.2736842105263,428.14736842105265
123,428.36842105263156,428.14736842105265
124,428.2631578947368,428.14736842105265
125,428.2631578947368,428.14736842105265
126,428.2,428.14736842105265
127,427.85263157894735,427.85263157894735
128,427.70526315789476,427.70526315789476
129,427.6421052631579,427.6421052631579
130,427.61052631578946,427.61052631578946
131,427.61052631578946,427.61052631578946
132,427.7368421052632,427.61052631578946
133,427.2,427.2
134,427.2842105263158,427.2
135,427.2842105263158,427.2
136,427.41052631578947,427.2
137,427.5578947368421,427.2
138,427.41052631578947,427.2
139,427.41052631578947,427.2
140,427.41052631578947,427.2
141,427.5684210526316,427.2
142,426.9789473684211,426.9789473684211
143,426.9789473684211,426.9789473684211
144,426.9789473684211,426.9789473684211
145,426.9789473684211,426.9789473684211
146,426.9789473684211,426.9789473684211
147,427.1684210526316,426.9789473684211
148,427.29473684210524,426.9789473684211
149,427.5052631578947,426.9789473684211
150,427.53684210526313,426.9789473684211
151,427.57894736842104,426.9789473684211
152,427.6421052631579,426.9789473684211
153,427.57894736842104,426.9789473684211
154,427.6736842105263,426.9789473684211
155,427.6736842105263,426.9789473684211
156,427.6736842105263,426.9789473684211
157,427.6736842105263,426.9789473684211
158,427.6736842105263,426.9789473684211
159,427.6736842105263,426.9789473684211
160,427.65263157894736,426.9789473684211
161,427.5473684210526,426.9789473684211
162,427.77894736842103,426.9789473684211
163,428.0,426.9789473684211
164,428.0,426.9789473684211
165,427.9894736842105,426.9789473684211
166,428.2526315789474,426.9789473684211
167,427.9263157894737,426.9789473684211
168,428.11578947368423,426.9789473684211
169,428.29473684210524,426.9789473684211
170,428.42105263157896,426.9789473684211
171,428.5052631578947,426.9789473684211
172,428.29473684210524,426.9789473684211
173,428.4736842105263,426.9789473684211
174,428.0842105263158,426.9789473684211
175,428.29473684210524,426.9789473684211
176,427.90526315789475,426.9789473684211
177,427.81052631578945,426.9789473684211
178,427.90526315789475,426.9789473684211
179,428.2105263157895,426.9789473684211
180,428.2,426.9789473684211
181,428.1684210526316,426.9789473684211
182,427.90526315789475,426.9789473684211
183,428.0315789473684,426.9789473684211
184,428.30526315789473,426.9789473684211
185,428.4736842105263,426.9789473684211
186,428.2105263157895,426.9789473684211
187,428.2105263157895,426.9789473684211
188,428.2105263157895,426.9789473684211
189,428.30526315789473,426.9789473684211
190,428.2105263157895,426.9789473684211
191,428.2,426.9789473684211
192,428.2,426.9789473684211
193,428.2,426.9789473684211
194,428.2,426.9789473684211
195,428.2,426.9789473684211
