P1;1;4;7;Unnamed: 4
P2;2;5;7;
P3;2;3;6;
P4;2;3;6;
P5;1;5;6;
P6;1;5;7;
P7;1;5;7;
P8;2;5;6;
P9;2;5;6;
P10;1;5;6;
P11;1;5;7;
P12;2;5;6;
P13;1;5;7;
P14;1;5;7;
P15;2;5;6;
P16;2;5;7;
P17;2;3;7;
P18;1;5;6;
P19;1;5;6;
P20;1;4;6;
P21;2;5;7;
P22;1;5;6;
P23;2;5;7;
P24;2;3;6;
P25;2;5;7;
P26;1;5;7;
P27;1;5;7;
P28;2;5;6;
P29;1;5;6;
P30;2;5;7;
P31;1;5;6;
P32;1;5;6;
P33;1;5;7;
P34;2;5;7;
P35;2;5;6;
P36;1;5;7;
P37;2;5;6;
P38;1;5;7;
P39;1;5;7;
P40;2;5;6;
P41;2;5;7;
P42;2;4;6;
P43;1;5;6;
P44;1;5;7;
P45;1;5;6;
P46;2;5;7;
P47;2;5;6;
P48;1;5;7;
P49;2;5;7;
P50;1;5;7;
P51;1;5;6;
P52;2;5;7;
P53;1;5;6;
P54;1;5;6;
P55;2;5;7;
P56;1;5;7;
P57;2;5;7;
P58;1;5;7;
