P1;1;4;7;Unnamed: 4
P2;1;5;7;
P3;2;5;6;
P4;2;5;6;
P5;1;5;7;
P6;2;5;6;
P7;1;5;7;
P8;2;5;7;
P9;1;5;7;
P10;1;5;6;
P11;2;5;7;
P12;1;5;6;
P13;2;5;6;
P14;1;5;7;
P15;2;5;6;
P16;1;5;7;
P17;2;5;6;
P18;2;5;7;
P19;1;5;6;
P20;1;5;7;
P21;2;5;7;
P22;1;4;6;
P23;2;5;6;
P24;2;5;7;
P25;2;5;6;
P26;2;3;6;
P27;2;5;7;
P28;1;5;6;
P29;1;5;7;
P30;1;5;7;
P31;1;5;6;
P32;1;5;6;
P33;1;5;6;
P34;2;5;7;
P35;1;5;6;
P36;2;3;6;
P37;2;5;7;
P38;2;5;6;
P39;2;5;7;
P40;1;5;6;
P41;1;5;6;
P42;2;5;7;
P43;2;5;6;
P44;2;5;7;
P45;1;5;7;
P46;1;5;7;
P47;1;3;6;
P48;1;3;6;
P49;1;5;7;
P50;1;4;7;
P51;2;5;7;
P52;2;5;7;
P53;1;5;7;
P54;1;3;6;
P55;2;5;6;
P56;2;5;7;
P57;1;5;6;
P58;1;5;6;
P59;2;5;7;
P60;1;5;7;
P61;1;5;6;
P62;1;5;6;
P63;2;5;7;
P64;1;5;6;
P65;2;5;7;
P66;1;5;6;
