P1;2;5;6;Unnamed: 4
P2;1;5;6;
P3;2;5;7;
P4;1;5;7;
P5;1;3;7;
P6;2;5;6;
P7;1;5;7;
P8;1;5;6;
P9;1;5;7;
P10;2;5;6;
P11;1;5;7;
P12;2;4;6;
P13;1;5;7;
P14;2;5;6;
P15;1;5;6;
P16;2;5;6;
P17;2;5;7;
P18;1;5;6;
P19;1;5;6;
P20;2;5;7;
P21;2;5;7;
P22;1;5;6;
P23;2;5;7;
P24;2;5;7;
P25;2;5;6;
P26;1;5;6;
P27;2;5;7;
P28;1;4;6;
P29;1;5;7;
P30;2;3;7;
P31;1;5;6;
P32;2;5;6;
P33;1;5;6;
P34;2;5;6;
P35;2;5;6;
P36;1;5;7;
P37;1;5;7;
P38;2;5;6;
P39;1;5;7;
P40;2;5;6;
P41;2;5;6;
P42;1;5;7;
P43;2;5;6;
P44;2;5;6;
P45;2;5;6;
P46;2;5;6;
P47;2;5;7;
P48;1;5;7;
P49;2;5;6;
P50;2;3;6;
P51;1;5;7;
P52;1;5;7;
P53;1;5;6;
P54;2;5;7;
P55;2;5;6;
P56;1;4;6;
P57;1;5;7;
P58;1;5;7;
P59;1;5;6;
P60;2;5;6;
P61;2;5;7;
P62;1;5;7;
P63;1;5;7;
P64;2;5;6;
P65;2;5;6;
P66;1;4;7;
P67;2;5;6;
