P1;1;4;7;Unnamed: 4
P2;1;5;6;
P3;2;5;7;
P4;2;5;7;
P5;1;5;7;
P6;2;3;7;
P7;2;5;6;
P8;1;5;7;
P9;2;5;6;
P10;2;5;6;
P11;1;5;7;
P12;1;5;7;
P13;1;5;6;
P14;2;5;7;
P15;2;5;7;
P16;1;5;6;
P17;1;3;6;
P18;1;5;6;
P19;1;5;7;
P20;2;5;7;
P21;2;5;7;
P22;1;3;6;
P23;1;5;7;
P24;2;5;7;
P25;1;5;7;
P26;2;5;6;
P27;2;5;6;
P28;1;5;7;
P29;2;5;6;
P30;2;5;6;
P31;1;5;6;
P32;2;5;7;
P33;1;5;7;
P34;1;5;7;
P35;2;5;7;
P36;2;5;6;
P37;1;5;7;
P38;1;5;7;
P39;2;5;6;
P40;2;5;6;
P41;2;5;6;
P42;1;4;7;
P43;1;5;7;
P44;2;5;7;
P45;1;3;6;
P46;2;5;6;
P47;1;5;6;
P48;2;5;7;
P49;2;5;7;
P50;1;5;7;
P51;2;3;7;
P52;1;5;6;
P53;2;3;7;
P54;2;5;7;
P55;2;5;7;
P56;2;3;7;
P57;1;5;6;
P58;2;5;7;
P59;1;5;6;
P60;1;5;6;
P61;1;5;6;
P62;1;5;6;
P63;1;5;6;
P64;1;5;6;
P65;2;5;7;
P66;2;5;7;
P67;1;5;6;
P68;2;5;6;
P69;1;5;7;
P70;1;5;7;
P71;2;5;6;
