Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
0.0;1.0;0.0;1.0;10.0;17.0;0.5882352941176471;1.0;1.0;1.7;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7962962962962963;0.1037037037037037;0.0703703703703703;0.0037037037037037;0.0259259259259259;0.0
0.0;0.0;1.0;1.0;6.0;10.0;1.0;1.0;1.0;1.6666666666666667;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8423236514522822;0.1078838174273859;0.0456431535269709;0.0041493775933609;0.0;0.0
0.0;0.0;1.0;0.0;10.0;10.0;1.0;0.7142857142857143;1.0;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8262548262548263;0.1312741312741312;0.027027027027027;0.0;0.0154440154440154;1.0
0.0;0.0;1.0;0.5;16.0;13.0;0.8421052631578947;0.6842105263157895;1.2307692307692308;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8043478260869565;0.1521739130434782;0.0108695652173913;0.0;0.0326086956521739;0.0
0.0;0.0;1.0;1.0;6.0;10.0;1.0;1.0;1.0;1.6666666666666667;0.8571428571428571;1.4285714285714286;1.0;0.0;0.7966101694915254;0.1864406779661017;0.0169491525423728;0.0;0.0;0.0
0.0;2.0;0.0;1.0;6.0;20.0;0.375;1.0;1.0;3.333333333333333;0.8571428571428571;1.4285714285714286;1.0;0.0;0.7596153846153846;0.1891025641025641;0.0096153846153846;0.0096153846153846;0.032051282051282;0.0
0.0;0.0;0.0;1.0;10.0;13.0;0.7692307692307693;1.0;1.0;1.3;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7188328912466844;0.2546419098143236;0.013262599469496;0.0053050397877984;0.0079575596816976;0.0
0.0;1.0;0.0;1.0;6.0;19.0;0.4;1.0;1.0;3.1666666666666665;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8104956268221575;0.1428571428571428;0.0145772594752186;0.0058309037900874;0.0262390670553935;0.0
0.0;0.0;0.0;1.0;6.0;11.0;0.8571428571428571;1.0;1.0;1.8333333333333333;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8298507462686567;0.1283582089552238;0.0298507462686567;0.008955223880597;0.0029850746268656;0.0
0.0;0.0;1.0;0.5;8.0;11.0;0.8888888888888888;0.8461538461538461;1.0;1.375;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8028169014084507;0.1295774647887324;0.0591549295774647;0.0;0.0084507042253521;0.0
0.0;1.0;0.0;1.0;6.0;19.0;0.4;1.0;1.0;3.1666666666666665;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8076923076923077;0.1490384615384615;0.0216346153846153;0.0;0.0216346153846153;0.0
0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8324468085106383;0.151595744680851;0.0026595744680851;0.0132978723404255;0.0;0.0
0.0;0.0;1.0;0.5;12.0;13.0;0.8;0.6842105263157895;1.0;1.0833333333333333;0.8571428571428571;1.4285714285714286;1.0;0.0;0.7349397590361446;0.2024096385542168;0.036144578313253;0.0048192771084337;0.0216867469879518;0.0
0.0;0.0;1.0;0.0;8.0;10.0;1.0;0.8333333333333334;1.0;1.25;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8073654390934845;0.1529745042492918;0.0254957507082152;0.0084985835694051;0.0056657223796034;0.0
0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7842323651452282;0.1825726141078838;0.0331950207468879;0.0;0.0;0.0
0.0;0.0;0.0;1.0;6.0;12.0;0.75;1.0;1.0;2.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.7399103139013453;0.1704035874439461;0.0627802690582959;0.0179372197309417;0.0089686098654708;0.0
0.0;0.0;1.0;0.0;14.0;10.0;1.0;0.7142857142857143;1.4;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.698019801980198;0.1881188118811881;0.0792079207920792;0.0148514851485148;0.0198019801980198;0.0
0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
