Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
0.0;0.0;1.0;0.0;11.0;10.0;1.0;0.9090909090909092;1.1;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.9010238907849828;0.0784982935153583;0.0085324232081911;0.0102389078498293;0.0017064846416382;1.0
0.0;1.0;0.0;1.0;10.0;10.0;0.625;1.0;1.0;1.0;2.0;0.8;0.0;1.0;0.897239263803681;0.0920245398773006;0.0015337423312883;0.0;0.00920245398773;1.0
0.0;0.0;1.0;0.0;12.0;10.0;1.0;0.8333333333333334;1.2;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8893805309734514;0.0604719764011799;0.0471976401179941;0.0;0.0029498525073746;1.0
0.0;0.0;1.0;0.0;16.0;4.0;1.0;0.4;4.0;1.0;2.0;0.8;0.0;1.0;0.8986710963455149;0.0681063122923588;0.0182724252491694;0.0049833887043189;0.0099667774086378;1.0
0.0;0.0;1.0;0.0;12.0;4.0;1.0;0.6666666666666666;3.0;1.0;2.0;0.8;0.0;1.0;0.9189655172413792;0.05;0.0206896551724137;0.0068965517241379;0.0034482758620689;1.0
1.0;0.0;1.0;0.0;18.0;4.0;1.0;0.3333333333333333;4.5;1.0;2.0;0.8;0.0;1.0;0.922671353251318;0.0562390158172231;0.0017574692442882;0.0052724077328646;0.0140597539543057;1.0
0.0;0.0;1.0;0.0;14.0;4.0;1.0;0.5;3.5;1.0;2.0;0.8;0.0;1.0;0.8898450946643718;0.0895008605851979;0.0068846815834767;0.0068846815834767;0.0068846815834767;1.0
0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8741496598639455;0.1020408163265306;0.0204081632653061;0.0034013605442176;0.0;0.0
0.0;0.0;1.0;0.0;10.0;10.0;1.0;0.7142857142857143;1.0;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8506944444444444;0.09375;0.03125;0.0104166666666666;0.0138888888888888;1.0
0.0;0.0;0.0;1.0;10.0;11.0;0.9090909090909092;1.0;1.0;1.1;0.9090909090909092;0.9090909090909092;0.0;0.0;0.7161290322580646;0.2451612903225806;0.0129032258064516;0.0193548387096774;0.0064516129032258;0.0
0.0;0.0;1.0;0.0;12.0;10.0;1.0;0.625;1.2;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.6130952380952381;0.3392857142857143;0.0;0.0119047619047619;0.0357142857142857;0.0
0.0;0.0;0.0;1.0;10.0;13.0;0.7692307692307693;1.0;1.0;1.3;0.9090909090909092;0.9090909090909092;0.0;0.0;0.0425531914893617;0.8297872340425532;0.0;0.0638297872340425;0.0638297872340425;0.0
