P1;2;3;7;
P2;1;3;7;
P3;1;5;6;
P4;2;5;6;
P5;1;4;6;
P6;2;4;7;
P7;2;5;7;
P8;2;3;7;
P9;1;5;6;
P10;2;5;7;
P11;1;4;7;
P12;1;3;7;
P13;2;5;6;
P14;2;5;6;
P15;2;3;7;
P16;2;4;7;
P17;2;5;7;
P18;1;5;7;
P19;2;3;6;
P20;1;3;6;
P21;2;5;7;
P22;1;4;7;
P23;2;5;7;
P24;1;4;7;
P25;2;4;7;
P26;1;5;6;
P27;1;4;6;
P28;2;5;6;
P29;1;5;6;
P30;2;5;6;
P31;1;4;6;
P32;2;3;6;
P33;1;3;7;
P34;2;5;6;
P35;1;3;7;
P36;2;4;7;
P37;1;4;6;
P38;1;3;6;
P39;1;5;7;
P40;2;4;7;
P41;1;5;6;
P42;2;3;7;
P43;2;3;7;
P44;2;3;7;
P45;2;4;7;
P46;1;3;6;
P47;1;3;6;
P48;2;3;7;
P49;1;5;7;
P50;1;3;6;
P51;1;3;6;
P52;2;3;6;
P53;1;3;7;
P54;2;3;7;
P55;2;3;6;
P56;2;4;6;
P57;1;5;6;
P58;2;5;6;
P59;1;3;7;
P60;1;5;6;
P61;2;3;7;
P62;1;5;7;
P63;1;5;7;
P64;1;3;7;
P65;1;3;7;
P66;1;4;7;
P67;2;5;7;
P68;1;5;6;
P69;1;5;6;
P70;1;5;6;
P71;2;4;6;
P72;1;5;6;
P73;1;5;6;
P74;1;5;6;
P75;1;3;7;
P76;1;3;7;
P77;2;3;7;
P78;1;5;6;
P79;1;3;7;
P80;1;3;7;
P81;1;3;7;
P82;1;3;7;
P83;2;5;7;
P84;1;5;6;
P85;2;5;7;
P86;2;3;7;
P87;2;4;6;
P88;2;4;7;
P89;1;5;6;
P90;1;4;6;
P91;1;3;6;
P92;1;4;6;
P93;1;3;7;
P94;1;3;7;
P95;2;3;7;
P96;1;5;6;
P97;2;4;7;
P98;1;4;7;
P99;1;4;7;
P100;1;3;7;
P101;1;4;7;
P102;2;3;6;
P103;2;5;6;
