P1;1;5;6;
P2;1;3;6;
P3;2;4;7;
P4;1;3;6;
P5;1;3;7;
P6;2;4;7;
P7;1;3;7;
P8;1;3;6;
P9;1;3;7;
P10;1;5;6;
P11;2;4;7;
P12;1;5;6;
P13;2;3;6;
P14;1;3;7;
P15;1;4;6;
P16;2;5;6;
P17;1;3;7;
P18;2;5;6;
P19;2;5;6;
P20;1;5;6;
P21;1;3;7;
P22;2;5;6;
P23;2;5;6;
P24;1;3;7;
P25;2;4;7;
P26;1;4;6;
P27;2;3;7;
P28;1;4;6;
P29;1;5;6;
P30;1;5;6;
P31;1;4;7;
P32;2;5;6;
P33;1;3;7;
P34;1;4;6;
P35;2;5;7;
P36;2;3;7;
P37;2;3;7;
P38;1;5;7;
P39;1;4;6;
P40;1;5;6;
P41;2;3;7;
P42;1;5;6;
P43;2;4;7;
P44;2;5;7;
P45;1;4;7;
P46;2;5;7;
P47;1;3;7;
P48;1;5;6;
P49;2;4;6;
P50;2;4;6;
P51;1;3;7;
P52;2;5;6;
P53;2;5;6;
P54;1;5;6;
P55;1;3;7;
P56;2;3;7;
P57;1;4;7;
P58;1;5;6;
P59;2;5;7;
P60;2;3;7;
P61;1;3;7;
P62;1;5;6;
P63;1;4;7;
P64;1;3;6;
P65;2;3;7;
P66;2;5;7;
P67;2;3;7;
P68;2;3;7;
P69;2;5;6;
P70;1;4;7;
P71;2;5;6;
P72;1;3;6;
P73;2;5;6;
P74;1;5;6;
P75;2;5;6;
P76;1;3;7;
P77;2;5;6;
P78;1;4;7;
P79;1;4;6;
P80;2;5;6;
P81;2;3;7;
P82;2;3;7;
P83;2;4;7;
P84;2;5;6;
P85;2;4;7;
P86;2;4;7;
P87;1;4;7;
P88;2;5;6;
P89;2;3;6;
P90;1;4;6;
P91;2;5;6;
P92;2;5;6;
P93;2;5;6;
P94;2;3;7;
P95;2;3;7;
P96;1;5;6;
