Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
0.0;0.0;0.0;1.0;1.0;1.0;15.0;18.0;21.0;1.0;1.0;1.0;1.0;1.2;1.4;0.9375;1.125;1.3125;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;1.0;0.1578947368421052;0.6842105263157895;1.0;18.0;31.0;40.0;0.36;0.5849056603773585;0.7142857142857143;1.0;1.7222222222222223;2.2222222222222223;0.9375;1.125;1.3125;0.0;0.0;0.0;0.9218967921896792;0.0488145048814504;0.0264993026499302;0.00278940027894;0.0;0.0
1.0;0.0;0.0;0.9285714285714286;0.5714285714285714;1.0;23.0;26.0;35.0;0.5111111111111111;0.490566037735849;0.625;1.0;1.1304347826086956;1.5217391304347827;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.9145077720207254;0.0453367875647668;0.0168393782383419;0.0;0.0233160621761658;1.0
0.0;1.0;0.0;0.3809523809523809;1.0;0.4285714285714285;18.0;33.0;30.0;0.375;0.66;0.5084745762711864;1.0;1.8333333333333333;1.6666666666666667;0.9090909090909092;1.0909090909090908;1.9090909090909087;1.0;1.0;0.0;0.92578125;0.0494791666666666;0.0026041666666666;0.0065104166666666;0.015625;0.0
1.0;1.0;1.0;0.52;0.64;1.0;23.0;28.0;46.0;0.359375;0.4242424242424242;0.6133333333333333;1.0;1.2173913043478262;2.0;0.9090909090909092;1.0909090909090908;1.9090909090909087;1.0;1.0;0.0;0.917705735660848;0.0673316708229426;0.0037406483790523;0.0012468827930174;0.0099750623441396;1.0
0.0;2.0;1.0;0.1951219512195122;1.0;0.4878048780487805;18.0;59.0;41.0;0.2278481012658227;0.6781609195402298;0.4555555555555555;1.0;3.2777777777777777;2.2777777777777777;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.8919540229885058;0.0793103448275862;0.0195402298850574;0.0022988505747126;0.0068965517241379;0.0
1.0;1.0;1.0;0.8518518518518519;0.6666666666666666;1.0;38.0;36.0;48.0;0.4578313253012048;0.4186046511627907;0.5393258426966292;1.0555555555555556;1.0;1.3333333333333333;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8897058823529411;0.0833333333333333;0.0245098039215686;0.0;0.0024509803921568;1.0
0.0;4.0;1.0;0.0;1.0;0.2631578947368421;15.0;75.0;36.0;0.1724137931034483;0.8333333333333334;0.3870967741935484;1.0;5.0;2.4;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8967391304347826;0.0978260869565217;0.0;0.0040760869565217;0.0013586956521739;0.0
0.0;4.0;0.0;0.1923076923076923;1.0;0.1923076923076923;20.0;70.0;31.0;0.2439024390243902;0.7777777777777778;0.3333333333333333;1.0;3.5;1.55;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.885558583106267;0.0980926430517711;0.0040871934604904;0.0;0.0122615803814713;0.0
1.0;3.0;0.0;0.3191489361702128;1.0;0.1063829787234042;25.0;65.0;26.0;0.3246753246753247;0.7647058823529411;0.2954545454545454;1.0;2.6;1.04;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.903954802259887;0.0946327683615819;0.0;0.001412429378531;0.0;0.0
1.0;3.0;1.0;0.4761904761904761;1.0;0.5;30.0;60.0;42.0;0.3225806451612903;0.594059405940594;0.4038461538461538;1.0;2.0;1.4;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.8725761772853186;0.1149584487534626;0.0;0.0;0.0124653739612188;0.0
2.0;3.0;1.0;0.6756756756756757;1.0;0.4324324324324324;35.0;55.0;37.0;0.3977272727272727;0.5729166666666666;0.3737373737373737;1.0;1.5714285714285714;1.0571428571428572;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.8769448373408769;0.1103253182461103;0.0028288543140028;0.0042432814710042;0.0056577086280056;0.0
2.0;2.0;0.0;0.9375;1.0;0.34375;40.0;50.0;32.0;0.4819277108433735;0.5494505494505495;0.3404255319148936;1.25;1.5625;1.0;0.9090909090909092;1.6363636363636365;1.9090909090909087;1.0;0.0;0.0;0.8739255014326648;0.1045845272206303;0.0157593123209169;0.0014326647564469;0.0042979942693409;0.0
