Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
2.0;0.0;0.0;0.0;1.0;1.0;1.0;22.0;20.0;2.0;1.0;1.0;1.0;11.0;10.0;1.0;7.333333333333333;6.666666666666667;0.6666666666666666;0.0;0.0;1.0;0.9408945686900958;0.0;0.05910543130990415;0.0
3.0;1.0;0.0;0.0;1.0;0.0;0.0;32.0;6.0;22.0;1.0;0.2727272727272727;0.5789473684210527;5.333333333333333;1.0;3.6666666666666665;2.2857142857142856;0.8571428571428571;3.142857142857143;0.0;1.0;0.0;0.9372990353697749;0.012861736334405145;0.04983922829581994;1.0
2.0;1.0;0.0;0.0;1.0;0.2857142857142857;0.0;18.0;24.0;2.0;0.8181818181818182;0.631578947368421;0.1;9.0;12.0;1.0;1.3333333333333333;6.666666666666667;0.6666666666666666;1.0;0.0;1.0;0.938610662358643;0.014539579967689823;0.046849757673667204;2.0
2.0;1.0;0.0;0.0;1.0;0.0;0.0;10.0;20.0;2.0;1.0;0.7692307692307693;0.25;5.0;10.0;1.0;1.3333333333333333;6.666666666666667;0.6666666666666666;1.0;0.0;1.0;0.9458572600492207;0.004922067268252666;0.04922067268252666;0.0
3.0;1.0;0.0;0.0;1.0;0.0;0.0;22.0;6.0;22.0;1.0;0.5;0.7857142857142857;3.6666666666666665;1.0;3.6666666666666665;2.2857142857142856;0.8571428571428571;3.142857142857143;0.0;1.0;0.0;0.9508057675996607;0.005089058524173028;0.04410517387616624;1.0
1.0;0.0;0.0;0.0;1.0;1.0;1.0;12.0;19.0;23.0;1.0;1.0;1.0;1.0;1.5833333333333333;1.9166666666666667;0.9230769230769231;1.4615384615384615;1.7692307692307692;0.0;0.0;0.0;0.9597550306211724;0.0;0.04024496937882765;2.0
3.0;0.0;0.0;1.0;0.0;0.0;1.0;16.0;6.0;41.0;0.45714285714285713;0.24;1.0;2.6666666666666665;1.0;6.833333333333333;2.2857142857142856;0.8571428571428571;3.142857142857143;0.0;1.0;0.0;0.9499561018437226;0.016681299385425813;0.033362598770851626;1.0
2.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;20.0;26.0;0.4;0.7692307692307693;1.0;1.0;5.0;6.5;0.8;4.0;4.0;1.0;0.0;0.0;0.9731977818853974;0.005545286506469501;0.021256931608133085;0.0
4.0;0.0;0.0;1.0;0.5;0.0;1.0;26.0;23.0;26.0;0.8666666666666667;0.7931034482758621;0.9285714285714286;1.1304347826086956;1.0;1.1304347826086956;1.0434782608695652;1.0;0.9565217391304348;0.0;0.0;0.0;0.974907063197026;0.0055762081784386614;0.019516728624535316;1.0
4.0;0.0;1.0;0.0;0.0;1.0;0.0;24.0;22.0;22.0;0.6;1.0;0.5789473684210527;1.0909090909090908;1.0;1.0;3.4285714285714284;0.8571428571428571;3.142857142857143;0.0;1.0;0.0;0.9426229508196722;0.014571948998178506;0.042805100182149364;0.0
