Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
1.0;0.0;0.0;0.0;1.0;0.0;0.1428571428571428;0.0;21.0;15.0;17.0;17.0;0.9545454545454546;0.6521739130434783;0.7083333333333334;0.68;1.4;1.0;1.1333333333333333;1.1333333333333333;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.6076923076923076;0.3307692307692307;0.0615384615384615;0.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;12.0;16.0;17.0;0.6666666666666666;1.0;0.6956521739130435;0.7083333333333334;1.1666666666666667;1.0;1.3333333333333333;1.4166666666666667;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.5684931506849316;0.2534246575342466;0.047945205479452;0.0205479452054794;0.1095890410958904;1.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;15.0;16.0;17.0;0.5833333333333334;1.0;0.6153846153846154;0.6296296296296297;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.6351351351351351;0.2094594594594594;0.0675675675675675;0.0067567567567567;0.081081081081081;1.0
0.0;0.0;0.0;1.0;0.0;0.3333333333333333;0.0;1.0;14.0;10.0;16.0;32.0;0.4117647058823529;0.4;0.4444444444444444;0.8648648648648649;1.4;1.0;1.6;3.2;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.6611111111111111;0.1611111111111111;0.1111111111111111;0.0;0.0666666666666666;1.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;23.0;16.0;17.0;0.6363636363636364;1.0;0.6666666666666666;0.68;1.0;1.6428571428571428;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.6222222222222222;0.3377777777777778;0.0355555555555555;0.0044444444444444;0.0;2.0
0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;14.0;19.0;8.0;17.0;0.7;0.9047619047619048;0.6666666666666666;0.7391304347826086;1.75;2.375;1.0;2.125;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.5892116182572614;0.3360995850622407;0.0248962655601659;0.0124481327800829;0.0373443983402489;2.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;23.0;6.0;17.0;0.6363636363636364;1.0;0.4285714285714285;0.68;2.333333333333333;3.8333333333333335;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.6212121212121212;0.2954545454545454;0.0303030303030303;0.0;0.053030303030303;2.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;18.0;6.0;17.0;0.8235294117647058;1.0;0.6666666666666666;0.85;2.333333333333333;3.0;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.7047244094488189;0.2755905511811024;0.0118110236220472;0.0078740157480314;0.0;0.0
0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.75;8.0;17.0;6.0;20.0;0.6153846153846154;0.7083333333333334;0.4;0.7692307692307693;1.3333333333333333;2.833333333333333;1.0;3.333333333333333;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.7016393442622951;0.2491803278688524;0.0295081967213114;0.0;0.0196721311475409;0.0
0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;4.0;15.0;6.0;17.0;1.0;1.0;1.0;1.0;1.0;3.75;1.5;4.25;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.6903225806451613;0.2580645161290322;0.0;0.0064516129032258;0.0451612903225806;0.0
