Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
1.0;0.0;1.0;0.0;0.375;0.0;1.0;0.0;20.0;15.0;32.0;17.0;0.5555555555555556;0.4054054054054054;0.8421052631578947;0.4358974358974359;1.3333333333333333;1.0;2.1333333333333333;1.1333333333333333;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.8329938900203666;0.1221995926680244;0.0448065173116089;0.0;0.0;1.0
0.0;1.0;1.0;0.0;0.0;0.8888888888888888;1.0;0.0;14.0;13.0;25.0;17.0;0.4516129032258064;0.5909090909090909;0.7575757575757576;0.5;1.0769230769230769;1.0;1.9230769230769231;1.3076923076923077;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.8687615526802218;0.0942698706099815;0.0314232902033271;0.0055452865064695;0.0;0.0
1.0;0.0;0.0;0.0;1.0;0.1428571428571428;0.2857142857142857;0.0;11.0;6.0;18.0;17.0;0.7857142857142857;0.4;0.6923076923076923;0.6296296296296297;1.8333333333333333;1.0;3.0;2.833333333333333;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8904847396768402;0.0807899461400359;0.0179533213644524;0.0;0.0107719928186714;1.0
0.0;0.0;0.0;0.0;1.0;0.75;0.0;0.0;8.0;8.0;16.0;17.0;0.7272727272727273;0.6666666666666666;0.6956521739130435;0.7083333333333334;1.0;1.0;2.0;2.125;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8752166377816292;0.0987868284228769;0.0121317157712305;0.0086655112651646;0.0051993067590987;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;5.0;16.0;24.0;0.3636363636363636;0.4166666666666667;0.6956521739130435;1.0;1.0;1.25;4.0;6.0;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8922610015174507;0.0789074355083459;0.0106221547799696;0.0015174506828528;0.0166919575113808;0.0
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;5.0;22.0;17.0;0.7;0.4545454545454545;1.0;0.7391304347826086;2.8;1.0;4.4;3.4;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.9199029126213591;0.0570388349514563;0.0072815533980582;0.0;0.0157766990291262;1.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;17.0;5.0;16.0;17.0;1.0;0.625;0.8421052631578947;0.85;3.4;1.0;3.2;3.4;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.9326556543837357;0.0520965692503176;0.0038119440914866;0.0;0.0114358322744599;1.0
0.0;0.0;1.0;0.0;0.1428571428571428;0.0;1.0;0.0;15.0;5.0;23.0;17.0;0.6818181818181818;0.3846153846153846;0.9583333333333334;0.68;3.0;1.0;4.6;3.4;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.9232769830949284;0.0559167750325097;0.0104031209362808;0.0;0.0104031209362808;1.0
0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;5.0;16.0;17.0;1.0;1.0;1.0;1.0;2.8;1.0;3.2;3.4;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.908284023668639;0.0828402366863905;0.0;0.0014792899408284;0.007396449704142;1.0
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.1428571428571428;28.0;5.0;16.0;19.0;0.9333333333333332;0.238095238095238;0.5;0.5757575757575758;5.6;1.0;3.2;3.8;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.9119010819165378;0.0479134466769706;0.0247295208655332;0.0;0.0154559505409582;1.0
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;20.0;15.0;16.0;17.0;1.0;0.7142857142857143;0.7272727272727273;0.7391304347826086;1.3333333333333333;1.0;1.0666666666666669;1.1333333333333333;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.9006928406466512;0.0739030023094688;0.0138568129330254;0.0023094688221709;0.0092378752886836;2.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;20.0;6.0;17.0;0.7368421052631579;1.0;0.5454545454545454;0.7727272727272727;2.333333333333333;3.333333333333333;1.0;2.833333333333333;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.8449197860962567;0.1122994652406417;0.0133689839572192;0.0;0.0294117647058823;0.0
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.2222222222222222;13.0;15.0;6.0;19.0;0.8666666666666667;0.5769230769230769;0.3529411764705882;0.6785714285714286;2.1666666666666665;2.5;1.0;3.1666666666666665;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.8360655737704918;0.1256830601092896;0.0300546448087431;0.0;0.0081967213114754;2.0
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0;15.0;31.0;17.0;0.2105263157894736;0.5;1.0;0.53125;1.0;3.75;7.75;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.8106508875739645;0.1213017751479289;0.044378698224852;0.0;0.0236686390532544;0.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;29.0;16.0;17.0;0.2222222222222222;1.0;0.5333333333333333;0.5483870967741935;1.0;7.25;4.0;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.7739130434782608;0.1434782608695652;0.0608695652173913;0.0;0.0217391304347826;0.0
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0;15.0;26.0;17.0;0.2857142857142857;0.6;1.0;0.6296296296296297;1.0;3.75;6.5;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.7352941176470589;0.196078431372549;0.0490196078431372;0.0;0.0196078431372549;0.0
