Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
1.0;8.0;11.0;0.7628865979381443;1.0;89.0;112.0;0.478494623655914;0.6021505376344086;1.0;1.2584269662921348;0.9375;0.9375;0.0;0.0;0.8142857142857143;0.18571428571428572;0.0;0.0;0.0;0.0
3.0;9.0;11.0;0.9166666666666666;1.0;103.0;101.0;0.5175879396984925;0.5343915343915344;1.0198019801980198;1.0;2.5;0.8333333333333334;0.0;1.0;0.8363636363636363;0.16363636363636364;0.0;0.0;0.0;1.0
4.0;9.0;12.0;0.8712871287128713;1.0;103.0;116.0;0.5049019607843137;0.5686274509803921;1.0;1.1262135922330097;0.9375;0.9375;0.0;0.0;0.84;0.16;0.0;0.0;0.0;0.0
2.0;10.0;11.0;1.0;0.9803921568627451;117.0;115.0;0.5391705069124424;0.5299539170506913;1.017391304347826;1.0;0.9375;0.9375;0.0;0.0;0.8595744680851064;0.14042553191489363;0.0;0.0;0.0;0.0
3.0;10.0;11.0;1.0;0.8495575221238938;128.0;101.0;0.5714285714285714;0.4719626168224299;1.2673267326732673;1.0;2.5;0.8333333333333334;0.0;1.0;0.8636363636363636;0.13636363636363635;0.0;0.0;0.0;1.0
3.0;10.0;12.0;1.0;0.8928571428571429;127.0;105.0;0.5594713656387665;0.4838709677419355;1.2095238095238094;1.0;2.5;0.8333333333333334;0.0;1.0;0.8760330578512396;0.12396694214876033;0.0;0.0;0.0;1.0
3.0;10.0;13.0;1.0;0.9375;127.0;110.0;0.5474137931034483;0.4954954954954955;1.1545454545454545;1.0;2.5;0.8333333333333334;0.0;1.0;0.8785425101214575;0.1214574898785425;0.0;0.0;0.0;1.0
3.0;10.0;14.0;1.0;0.9821428571428571;127.0;115.0;0.5358649789029536;0.5066079295154186;1.1043478260869566;1.0;2.5;0.8333333333333334;0.0;1.0;0.8809523809523809;0.11904761904761904;0.0;0.0;0.0;1.0
1.0;9.0;15.0;0.9732142857142857;1.0;124.0;127.0;0.5254237288135594;0.538135593220339;1.0;1.0241935483870968;0.9375;0.9375;0.0;0.0;0.778169014084507;0.17253521126760563;0.04929577464788732;0.0;0.0;0.0
3.0;10.0;15.0;1.0;0.9032258064516129;139.0;117.0;0.5537848605577689;0.4854771784232365;1.188034188034188;1.0;2.5;0.8333333333333334;0.0;1.0;0.7892976588628763;0.16387959866220736;0.046822742474916385;0.0;0.0;1.0
