Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
4.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.4727272727272727;0.5272727272727272;0.0;0.0;0.0;1.0
4.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;12.0;16.0;17.0;0.6666666666666666;1.0;0.6956521739130435;0.7083333333333334;1.1666666666666667;1.0;1.3333333333333333;1.4166666666666667;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.7142857142857143;0.21904761904761905;0.06666666666666667;0.0;0.0;1.0
4.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;15.0;16.0;17.0;0.5833333333333334;1.0;0.6153846153846154;0.6296296296296297;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.6440677966101694;0.2711864406779661;0.0847457627118644;0.0;0.0;1.0
3.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;26.0;16.0;17.0;0.56;1.0;0.5925925925925926;0.6071428571428571;1.0;1.8571428571428572;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.584;0.328;0.088;0.0;0.0;2.0
2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;21.0;17.0;0.7368421052631579;0.75;1.0;0.7727272727272727;1.0;1.0714285714285714;1.5;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.5733333333333334;0.30666666666666664;0.03333333333333333;0.0;0.08666666666666667;0.0
5.0;1.0;0.0;0.0;0.0;1.0;0.0;0.3076923076923077;0.0;27.0;15.0;20.0;17.0;0.8709677419354839;0.46875;0.6060606060606061;0.5;1.8;1.0;1.3333333333333333;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.5283018867924528;0.27672955974842767;0.1069182389937107;0.018867924528301886;0.06918238993710692;1.0
5.0;0.0;1.0;0.0;0.0;0.6666666666666666;1.0;0.0;0.0;18.0;11.0;16.0;17.0;0.75;0.7333333333333333;0.6153846153846154;0.6296296296296297;1.6363636363636365;1.0;1.4545454545454546;1.5454545454545454;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.5783132530120482;0.3072289156626506;0.060240963855421686;0.0;0.05421686746987952;3.0
2.0;0.0;1.0;0.0;1.0;0.23529411764705882;0.35294117647058826;0.0;1.0;8.0;21.0;16.0;34.0;0.25806451612903225;0.5;0.37209302325581395;0.7727272727272727;1.0;2.625;2.0;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.5245901639344263;0.2786885245901639;0.14754098360655737;0.0;0.04918032786885246;0.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;15.0;6.0;21.0;0.7777777777777778;0.7894736842105263;0.6;1.0;2.3333333333333335;2.5;1.0;3.5;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.7476635514018691;0.1588785046728972;0.018691588785046728;0.0;0.07476635514018691;1.0
2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.26666666666666666;4.0;30.0;16.0;21.0;0.17391304347826086;0.8823529411764706;0.45714285714285713;0.5833333333333334;1.0;7.5;4.0;5.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.6986899563318777;0.14847161572052403;0.08296943231441048;0.0;0.06986899563318777;0.0
