Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.9315068493150684;0.0410958904109589;0.0228310502283105;0.0045662100456621;0.0;1.0
1.0;1.0;1.0;1.0;17.0;11.0;0.7083333333333334;0.6111111111111112;1.5454545454545454;1.0;2.0;0.8;0.0;1.0;0.8991769547325102;0.0555555555555555;0.0144032921810699;0.0020576131687242;0.0288065843621399;1.0
0.0;0.0;1.0;0.0;13.0;10.0;1.0;0.7692307692307693;1.3;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.9327956989247312;0.053763440860215;0.0094086021505376;0.0;0.0040322580645161;1.0
0.0;0.0;0.0;1.0;10.0;8.0;0.7142857142857143;1.0;1.25;1.0;2.0;0.8;0.0;1.0;0.935687263556116;0.0466582597730138;0.0126103404791929;0.0;0.0050441361916771;1.0
0.0;0.0;0.0;1.0;10.0;6.0;0.8333333333333334;1.0;1.6666666666666667;1.0;2.0;0.8;0.0;1.0;0.9681528662420382;0.0242038216560509;0.0050955414012738;0.0;0.0025477707006369;1.0
0.0;0.0;1.0;1.0;10.0;4.0;1.0;1.0;2.5;1.0;2.0;0.8;0.0;1.0;0.9567979669631512;0.0381194409148665;0.0038119440914866;0.0012706480304955;0.0;1.0
0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8713629402756509;0.0826952526799387;0.0428790199081163;0.003062787136294;0.0;0.0
0.0;1.0;0.0;1.0;10.0;16.0;0.625;1.0;1.0;1.6;0.9090909090909092;0.9090909090909092;0.0;0.0;0.8693181818181818;0.1079545454545454;0.0113636363636363;0.0;0.0113636363636363;0.0
0.0;0.0;1.0;0.2;11.0;11.0;0.9166666666666666;0.6875;1.0;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8208409506398537;0.1371115173674588;0.0310786106032906;0.0;0.0109689213893967;1.0
0.0;1.0;0.0;1.0;6.0;10.0;0.5;1.0;1.0;1.6666666666666667;1.2;0.8;1.0;1.0;0.8283018867924529;0.1396226415094339;0.020754716981132;0.0;0.0113207547169811;0.0
