P1;1;5;6;11;14;
P2;1;4;6;10;14;
P3;1;4;6;10;14;
P4;1;5;6;11;14;
P5;1;3;9;11;14;
P6;1;4;9;12;13;
P7;1;5;6;11;13;
P8;2;3;7;12;13;
P9;1;5;6;12;13;
P10;1;4;8;11;14;
P11;2;3;8;10;13;
P12;1;4;8;10;14;
P13;2;3;7;11;13;
P14;2;4;6;12;13;
P15;1;5;8;12;14;
P16;1;5;6;11;14;
P17;2;4;6;10;14;
P18;1;3;6;12;13;
P19;2;5;6;10;14;
P20;1;3;6;11;13;
P21;1;5;7;12;14;
P22;2;3;6;12;13;
P23;2;3;7;10;14;
P24;1;4;8;11;13;
P25;1;4;8;10;13;
P26;1;5;7;10;13;
P27;2;3;7;12;14;
P28;1;5;9;12;13;
P29;2;3;7;12;13;
P30;2;3;7;11;13;
P31;1;3;6;11;14;
P32;2;3;7;10;13;
P33;2;4;8;12;14;
P34;1;5;6;11;14;
P35;2;4;8;12;14;
P36;1;3;6;12;14;
P37;1;5;8;10;13;
P38;1;3;6;10;14;
P39;1;4;6;12;13;
P40;2;3;9;12;14;
P41;2;4;8;11;13;
P42;1;4;6;11;13;
P43;2;4;7;11;13;
P44;1;5;7;10;14;
P45;1;5;7;11;13;
P46;1;3;6;11;13;
P47;2;3;6;10;14;
P48;2;3;6;10;14;
P49;1;3;6;11;13;
P50;2;4;9;10;14;
P51;2;4;7;10;13;
P52;1;3;7;10;13;
P53;2;4;6;11;14;
P54;2;4;8;12;14;
P55;2;3;6;10;13;
P56;2;3;7;11;14;
P57;2;3;6;12;14;
P58;1;5;6;11;13;
P59;2;5;9;12;14;
P60;2;3;7;10;14;
P61;2;5;9;12;14;
P62;1;3;8;10;14;
P63;2;5;7;10;14;
P64;2;3;9;10;14;
P65;2;4;6;11;13;
P66;2;4;9;10;14;
P67;1;3;8;12;14;
P68;1;4;7;12;13;
P69;2;4;6;12;14;
P70;2;3;7;11;13;
P71;1;3;6;10;14;
P72;2;4;6;12;13;
P73;2;5;9;11;13;
P74;2;4;8;10;14;
P75;2;3;6;10;14;
P76;2;3;6;12;14;
P77;2;5;6;12;13;
P78;2;4;9;10;14;
P79;2;3;9;11;14;
P80;2;3;6;12;13;
P81;1;5;6;11;13;
P82;2;4;8;12;14;
P83;1;4;7;10;14;
P84;2;3;6;11;14;
P85;1;5;6;12;13;
P86;1;3;9;11;14;
P87;1;4;8;11;14;
P88;2;3;6;10;14;
P89;1;5;8;11;14;
P90;1;5;9;10;13;
P91;1;4;8;12;13;
P92;1;5;6;12;14;
P93;1;4;8;10;13;
P94;2;3;6;11;14;
P95;1;3;6;11;14;
P96;2;4;7;11;14;
P97;2;5;7;10;14;
P98;2;3;7;11;14;
P99;2;4;8;12;13;
P100;1;3;6;12;14;
