Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0;Selected Resource_3.0
5.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8703071672354948;0.1296928327645051;0.0;0.0;0.0;1;0;0;0
2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;28.0;15.0;16.0;17.0;1.0;0.5172413793103449;0.5333333333333333;0.5483870967741935;1.8666666666666667;1.0;1.0666666666666667;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8306188925081434;0.1237785016286645;0.04560260586319218;0.0;0.0;0;1;0;0
2.0;1.0;1.0;0.0;0.0;0.9285714285714286;1.0;0.0;0.0;27.0;19.0;16.0;17.0;0.6585365853658537;0.59375;0.37209302325581395;0.38636363636363635;1.6875;1.1875;1.0;1.0625;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8006329113924051;0.11392405063291139;0.08544303797468354;0.0;0.0;0;0;1;0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8578313253012049;0.13493975903614458;0.0;0.007228915662650603;0.0;0;0;1;0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;21.0;17.0;0.4827586206896552;0.5;1.0;0.53125;1.0;1.0714285714285714;1.5;1.2142857142857142;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.834841628959276;0.11990950226244344;0.033936651583710405;0.011312217194570135;0.0;1;0;0;0
3.0;1.0;0.0;1.0;0.0;0.9090909090909091;0.0;1.0;0.0;24.0;15.0;27.0;17.0;0.6857142857142857;0.4166666666666667;0.7297297297297297;0.4473684210526316;1.6;1.0;1.8;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8164948453608247;0.1134020618556701;0.04329896907216495;0.0;0.026804123711340205;0;0;0;1
1.0;1.0;0.0;0.0;1.0;0.4166666666666667;0.0;0.5;1.0;9.0;15.0;12.0;29.0;0.3333333333333333;0.39473684210526316;0.41379310344827586;0.725;1.0;1.6666666666666667;1.3333333333333333;3.2222222222222223;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.8554216867469879;0.08032128514056225;0.04618473895582329;0.0;0.018072289156626505;1;0;0;0
1.0;1.0;0.0;0.0;1.0;0.6666666666666666;0.0;0.3333333333333333;1.0;10.0;15.0;9.0;26.0;0.45454545454545453;0.45454545454545453;0.375;0.7428571428571429;1.1111111111111112;1.6666666666666667;1.0;2.888888888888889;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.8962264150943396;0.06037735849056604;0.033962264150943396;0.0;0.009433962264150943;0;0;1;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;15.0;8.0;19.0;0.5;0.7894736842105263;0.8;0.9047619047619048;1.0;3.75;2.0;4.75;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.8766666666666667;0.095;0.006666666666666667;0.006666666666666667;0.015;1;0;0;0
4.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.9028475711892797;0.06532663316582915;0.0;0.01340033500837521;0.018425460636515914;0;0;1;0
