P1;2;3;6;12;14;
P2;2;4;8;10;14;
P3;2;4;9;12;14;
P4;1;5;7;12;13;
P5;2;4;9;11;14;
P6;1;3;6;10;13;
P7;2;5;6;12;13;
P8;2;3;9;10;14;
P9;1;3;6;12;13;
P10;2;4;8;11;14;
P11;1;5;7;11;14;
P12;2;4;6;10;13;
P13;1;5;6;10;14;
P14;1;3;8;10;13;
P15;2;5;8;12;14;
P16;1;3;8;11;14;
P17;2;5;8;11;14;
P18;1;4;8;12;13;
P19;1;5;8;12;14;
P20;2;3;6;10;13;
P21;2;4;9;10;14;
P22;1;3;9;11;14;
P23;2;4;9;10;14;
P24;2;3;6;11;13;
P25;2;3;6;11;13;
P26;2;5;6;10;13;
P27;1;3;8;12;13;
P28;2;4;7;11;13;
P29;1;3;8;12;14;
P30;2;3;9;12;14;
P31;2;4;7;10;13;
P32;2;5;6;11;14;
P33;2;3;6;11;14;
P34;1;4;7;10;13;
P35;1;4;7;11;13;
P36;2;5;7;11;13;
P37;1;4;7;10;13;
P38;1;3;6;10;14;
P39;1;3;6;10;14;
P40;2;3;8;12;14;
P41;2;5;8;11;13;
P42;2;3;7;10;14;
P43;1;3;6;10;13;
P44;1;5;8;12;14;
P45;2;4;6;10;13;
P46;1;5;8;12;14;
P47;1;5;8;12;14;
P48;1;4;7;10;13;
P49;1;3;9;10;14;
P50;1;3;9;12;14;
P51;1;4;9;11;14;
P52;2;4;7;11;13;
P53;1;5;6;11;13;
P54;2;3;6;10;13;
P55;2;4;7;11;13;
P56;1;3;6;12;14;
P57;1;5;6;10;13;
P58;1;4;7;11;14;
P59;1;5;7;10;14;
P60;2;5;8;10;14;
P61;2;3;8;12;14;
P62;2;3;9;11;14;
P63;1;3;6;12;13;
P64;2;5;6;10;13;
P65;2;5;6;12;13;
P66;1;4;9;12;14;
P67;2;3;6;12;13;
P68;1;4;7;10;13;
P69;1;4;7;11;14;
P70;1;3;6;12;14;
P71;1;3;7;12;14;
P72;1;3;7;12;14;
P73;1;5;9;10;14;
P74;1;5;9;12;14;
P75;2;5;6;12;13;
P76;1;4;8;12;14;
P77;2;5;8;11;14;
P78;2;4;6;10;14;
P79;2;3;7;10;13;
P80;1;5;6;12;14;
P81;2;3;6;11;13;
P82;1;3;8;11;14;
P83;1;4;7;11;13;
P84;1;4;7;10;13;
P85;2;5;7;10;13;
P86;2;3;6;12;13;
P87;2;3;6;12;14;
P88;1;4;7;12;13;
P89;1;3;9;11;14;
P90;2;4;9;10;14;
P91;1;3;7;11;14;
P92;1;4;8;10;14;
P93;1;4;6;11;14;
P94;1;3;9;10;14;
P95;1;3;8;12;13;
P96;2;3;6;12;14;
P97;1;3;8;12;13;
P98;1;5;7;12;14;
P99;1;4;6;12;14;
P100;1;4;9;11;14;
