P1;1;4;7;Unnamed: 4
P2;1;3;6;
P3;2;5;7;
P4;2;5;7;
P5;1;5;6;
P6;2;5;7;
P7;2;5;7;
P8;1;5;6;
P9;1;3;6;
P10;2;5;7;
P11;2;5;7;
P12;1;5;6;
P13;1;5;6;
P14;1;5;6;
P15;1;3;7;
P16;1;5;7;
P17;2;5;7;
P18;2;5;7;
P19;2;5;6;
P20;2;5;6;
P21;1;5;7;
P22;1;5;6;
P23;2;5;6;
P24;2;5;6;
P25;2;5;7;
P26;1;5;6;
P27;1;5;7;
P28;1;5;7;
P29;2;5;6;
P30;2;5;6;
P31;1;5;7;
P32;2;5;6;
P33;2;3;6;
P34;1;5;7;
P35;2;5;6;
P36;1;5;7;
P37;2;5;6;
P38;2;5;6;
P39;1;5;7;
P40;1;5;6;
P41;2;5;6;
P42;2;5;7;
P43;2;5;6;
P44;1;5;6;
P45;1;5;7;
P46;2;5;6;
P47;2;5;7;
P48;1;5;7;
P49;1;4;6;
P50;2;5;6;
P51;2;5;6;
P52;1;5;7;
P53;1;5;7;
P54;2;5;6;
P55;2;5;6;
P56;2;5;7;
P57;1;3;6;
P58;1;5;6;
P59;1;5;6;
P60;2;5;7;
P61;1;5;6;
P62;2;5;7;
P63;1;5;6;
P64;2;5;6;
P65;1;5;7;
P66;2;5;6;
P67;2;5;7;
