P1;1;4;7;Unnamed: 4
P2;2;5;7;
P3;1;5;7;
P4;2;5;6;
P5;2;5;6;
P6;1;5;7;
P7;2;5;6;
P8;1;5;7;
P9;1;5;7;
P10;2;5;6;
P11;2;5;6;
P12;2;5;7;
P13;2;5;6;
P14;1;5;7;
P15;2;5;6;
P16;2;5;7;
P17;2;5;7;
P18;2;5;6;
P19;1;5;6;
P20;2;5;6;
P21;1;5;6;
P22;2;5;6;
P23;2;5;6;
P24;1;5;6;
P25;2;5;7;
P26;1;5;7;
P27;2;5;7;
P28;1;3;6;
P29;1;5;7;
P30;1;5;7;
P31;1;5;7;
P32;2;5;6;
P33;1;5;6;
P34;2;5;6;
P35;1;4;6;
P36;1;5;7;
P37;2;3;7;
P38;1;5;7;
P39;2;5;6;
P40;1;3;6;
P41;2;5;7;
P42;2;5;6;
P43;2;5;6;
P44;2;5;6;
P45;2;3;6;
P46;2;5;6;
P47;1;5;7;
P48;1;5;7;
P49;2;5;6;
P50;2;5;7;
P51;2;5;7;
P52;1;5;7;
P53;1;5;7;
P54;2;3;7;
P55;1;5;7;
P56;1;5;6;
P57;2;3;7;
P58;2;5;7;
P59;1;3;6;
P60;1;5;6;
P61;1;5;7;
P62;2;5;7;
P63;2;5;7;
P64;1;5;7;
P65;2;3;6;
P66;1;5;6;
P67;2;3;6;
P68;1;5;6;
P69;2;5;7;
P70;1;5;6;
P71;1;5;6;
P72;1;5;7;
P73;1;5;7;
P74;1;3;6;
P75;1;5;6;
P76;2;5;7;
P77;2;5;6;
P78;1;5;6;
P79;1;3;6;
P80;1;5;7;
P81;1;5;7;
P82;2;5;7;
P83;1;5;7;
P84;2;5;6;
P85;2;5;6;
P86;2;3;6;
P87;1;5;7;
P88;2;3;6;
P89;1;5;7;
P90;1;5;7;
P91;2;3;6;
P92;2;5;6;
