Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
2.0;0.0;1.0;0.3809523809523809;57.0;42.0;0.8769230769230769;0.6666666666666666;1.3571428571428572;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9714076246334312;0.0073313782991202;0.0212609970674486;1.0
2.0;1.0;0.5;1.0;53.0;44.0;0.6091954022988506;0.7213114754098361;1.2045454545454546;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9606126914660832;0.0021881838074398;0.037199124726477;1.0
1.0;0.0;1.0;0.1142857142857142;71.0;14.0;0.9466666666666668;0.2857142857142857;5.071428571428571;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9624413145539906;0.0070422535211267;0.0305164319248826;1.0
2.0;0.0;1.0;0.0;59.0;34.0;1.0;0.5964912280701754;1.7352941176470589;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9721706864564008;0.0064935064935064;0.0213358070500927;1.0
2.0;1.0;0.6333333333333333;1.0;55.0;40.0;0.6470588235294118;0.6779661016949152;1.375;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9523809523809524;0.0027472527472527;0.0448717948717948;1.0
1.0;2.0;0.4166666666666667;1.0;51.0;46.0;0.5862068965517241;0.7540983606557377;1.108695652173913;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9529085872576176;0.0;0.0470914127423822;1.0
1.0;3.0;0.4054054054054054;1.0;51.0;47.0;0.5795454545454546;0.7580645161290323;1.0851063829787233;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.951219512195122;0.0;0.048780487804878;1.0
0.0;1.0;0.0;1.0;36.0;21.0;0.7659574468085106;1.0;1.7142857142857142;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9479591836734694;0.0408163265306122;0.0112244897959183;1.0
1.0;0.0;1.0;0.0;54.0;10.0;1.0;0.3571428571428571;5.4;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.942614240170032;0.0382571732199787;0.0191285866099893;1.0
0.0;0.0;1.0;0.0;44.0;10.0;1.0;0.5555555555555556;4.4;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9664429530201344;0.0246085011185682;0.0089485458612975;1.0
0.0;0.0;0.3333333333333333;1.0;37.0;37.0;0.925;0.9736842105263158;1.0;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9935064935064936;0.0;0.0064935064935064;1.0
0.0;0.0;0.5;1.0;40.0;18.0;0.8333333333333334;0.8181818181818182;2.2222222222222223;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.978798586572438;0.0;0.0212014134275618;1.0
0.0;0.0;1.0;1.0;36.0;10.0;1.0;1.0;3.6;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.971311475409836;0.0286885245901639;0.0;1.0
0.0;0.0;1.0;0.0;45.0;34.0;1.0;0.7906976744186046;1.3235294117647058;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9782082324455206;0.0;0.0217917675544794;1.0
1.0;1.0;1.0;0.9615384615384616;62.0;35.0;0.7126436781609196;0.5737704918032787;1.7714285714285714;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.8822170900692841;0.0;0.1177829099307159;1.0
1.0;2.0;0.7666666666666667;1.0;59.0;40.0;0.6629213483146067;0.6349206349206349;1.475;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.8752941176470588;0.0;0.1247058823529411;1.0
1.0;0.0;1.0;0.3636363636363636;47.0;14.0;0.9215686274509804;0.56;3.357142857142857;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.8920634920634921;0.0603174603174603;0.0476190476190476;1.0
0.0;0.0;0.625;1.0;41.0;18.0;0.8367346938775511;0.782608695652174;2.2777777777777777;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9275862068965516;0.0275862068965517;0.0448275862068965;1.0
1.0;0.0;1.0;0.1666666666666666;48.0;36.0;0.96;0.75;1.3333333333333333;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9014084507042254;0.0;0.0985915492957746;0.0
