Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
1.0;2.0;0.35;1.0;38.0;82.0;0.4871794871794871;0.8541666666666666;1.0;2.1578947368421053;0.96;1.68;0.0;0.0;1.0;0.0;0.0;1.0
2.0;6.0;0.2096774193548387;1.0;50.0;166.0;0.2873563218390804;0.8645833333333334;1.0;3.32;0.96;1.68;0.0;0.0;1.0;0.0;0.0;0.0
6.0;7.0;0.631578947368421;1.0;108.0;175.0;0.4481327800829875;0.6756756756756757;1.0;1.6203703703703705;0.96;1.68;0.0;0.0;1.0;0.0;0.0;1.0
8.0;8.0;0.7564102564102564;1.0;142.0;170.0;0.4765100671140939;0.5902777777777778;1.0;1.1971830985915493;1.6;0.9333333333333332;0.0;1.0;1.0;0.0;0.0;1.0
11.0;12.0;0.6205357142857143;1.0;163.0;266.0;0.421188630490956;0.6567901234567901;1.0;1.6319018404907977;0.96;1.68;0.0;0.0;0.9404145077720208;0.0595854922279792;0.0;0.0
20.0;17.0;1.0;0.9691119691119692;283.0;293.0;0.5299625468164794;0.5307971014492754;1.0;1.0353356890459364;0.96;1.68;0.0;0.0;0.9426987060998152;0.0166358595194085;0.0406654343807763;0.0
23.0;18.0;1.0;0.8284789644012945;333.0;298.0;0.565365025466893;0.4909390444810543;1.1174496644295302;1.0;0.96;1.68;0.0;0.0;0.940099833610649;0.0116472545757071;0.0482529118136439;0.0
31.0;23.0;1.0;0.8902439024390244;434.0;407.0;0.5431789737171464;0.4981640146878825;1.0663390663390664;1.0;0.96;1.68;0.0;0.0;0.9270334928229664;0.0047846889952153;0.0681818181818181;0.0
37.0;25.0;1.0;0.743879472693032;555.0;437.0;0.5842105263157895;0.4514462809917355;1.2700228832951943;1.0;0.96;1.68;0.0;0.0;0.9468302658486708;0.0010224948875255;0.0521472392638036;0.0
39.0;25.0;1.0;0.6787564766839378;603.0;435.0;0.6054216867469879;0.4289940828402367;1.3862068965517242;1.0;0.96;1.68;0.0;0.0;0.9310344827586208;0.0;0.0689655172413793;0.0
40.0;28.0;1.0;0.7336683417085427;609.0;480.0;0.5816618911174785;0.4456824512534819;1.26875;1.0;0.9230769230769232;3.230769230769231;1.0;0.0;0.9383499546690844;0.0;0.0616500453309156;0.0
41.0;28.0;1.0;0.7192118226600985;621.0;480.0;0.5864022662889519;0.4407713498622589;1.29375;1.0;0.9230769230769232;3.230769230769231;1.0;0.0;0.9390134529147982;0.0;0.0609865470852017;0.0
42.0;29.0;1.0;0.7246376811594203;633.0;492.0;0.5844875346260388;0.4420485175202156;1.2865853658536586;1.0;0.9230769230769232;3.230769230769231;1.0;0.0;0.9402985074626866;0.0;0.0597014925373134;0.0
43.0;30.0;1.0;0.7282780410742496;645.0;503.0;0.5831826401446655;0.442781690140845;1.2823061630218688;1.0;0.9230769230769232;3.230769230769231;1.0;0.0;0.9414802065404476;0.0;0.0585197934595524;0.0
48.0;38.0;1.0;0.8017118402282454;725.0;604.0;0.5633255633255633;0.4628352490421455;1.2003311258278146;1.0;0.96;1.68;0.0;0.0;0.9560938682816048;0.0;0.0439061317183951;1.0
49.0;39.0;1.0;0.8368495077355836;735.0;609.0;0.5526315789473685;0.4613636363636363;1.206896551724138;1.0;1.6;0.9333333333333332;0.0;1.0;0.9588839941262848;0.0;0.0411160058737151;1.0
49.0;43.0;1.0;0.9379407616361072;733.0;707.0;0.5243204577968527;0.4992937853107345;1.0367751060820367;1.0;0.96;1.68;0.0;0.0;0.9635343618513325;0.0;0.0364656381486676;0.0
