P1;2;5;7;
P2;1;4;6;
P3;1;4;6;
P4;1;3;6;
P5;2;5;7;
P6;1;5;6;
P7;1;5;6;
P8;1;4;6;
P9;1;5;7;
P10;2;5;7;
P11;1;3;6;
P12;1;3;6;
P13;2;3;7;
P14;1;3;7;
P15;1;5;6;
P16;2;3;7;
P17;2;4;7;
P18;1;3;7;
P19;1;3;7;
P20;2;5;7;
P21;2;4;7;
P22;1;4;7;
P23;1;4;7;
P24;2;5;6;
P25;2;4;7;
P26;2;3;7;
P27;2;5;6;
P28;2;5;6;
P29;2;5;6;
P30;2;4;6;
P31;2;4;6;
P32;1;3;7;
P33;2;3;7;
P34;1;4;7;
P35;2;4;6;
P36;2;4;6;
P37;2;3;7;
P38;2;5;7;
P39;1;4;7;
P40;1;3;7;
P41;1;5;6;
P42;1;5;6;
P43;2;4;6;
P44;1;5;6;
P45;1;4;6;
P46;2;5;7;
P47;1;4;6;
P48;1;3;7;
P49;1;3;7;
P50;2;5;7;
P51;1;5;7;
P52;1;3;7;
P53;1;4;6;
P54;1;5;7;
P55;2;5;7;
P56;2;5;6;
P57;2;5;6;
P58;2;5;6;
P59;1;5;7;
P60;1;4;6;
P61;2;3;7;
P62;1;3;6;
P63;2;4;7;
P64;2;4;7;
P65;2;5;7;
P66;2;5;6;
P67;1;3;6;
P68;1;4;7;
P69;2;3;6;
P70;1;5;6;
P71;2;4;7;
P72;1;3;6;
P73;1;5;6;
P74;2;3;7;
P75;2;3;7;
P76;2;4;6;
P77;1;3;6;
P78;2;5;6;
P79;2;3;7;
P80;2;5;7;
P81;1;3;7;
P82;1;5;6;
P83;1;3;7;
P84;1;3;7;
P85;1;3;7;
P86;1;3;6;
P87;1;4;7;
P88;1;4;7;
P89;2;4;6;
P90;1;4;7;
P91;1;5;6;
P92;1;3;6;
P93;2;3;7;
P94;1;3;7;
P95;1;5;6;
P96;1;3;7;
P97;1;4;6;
P98;1;3;7;
P99;1;3;7;
P100;1;5;6;
