Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0;Selected Resource_3.0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.6363636363636364;0.3636363636363636;0.0;0.0;0.0;1;0;0;0
5.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;27.0;15.0;16.0;17.0;1.0;0.5357142857142857;0.5517241379310345;0.5666666666666667;1.8;1.0;1.0666666666666669;1.1333333333333333;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.3661971830985915;0.4507042253521127;0.1830985915492957;0.0;0.0;0;1;0;0
2.0;1.0;1.0;0.0;0.0;0.8571428571428571;1.0;0.0;0.0;16.0;29.0;16.0;17.0;0.5333333333333333;0.7073170731707317;0.3809523809523809;0.3953488372093023;1.0;1.8125;1.0;1.0625;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.3;0.375;0.325;0.0;0.0;0;0;0;1
4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;15.0;16.0;20.0;0.8235294117647058;0.8333333333333334;0.8421052631578947;1.0;1.0;1.0714285714285714;1.1428571428571428;1.4285714285714286;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.4823529411764706;0.4588235294117647;0.0352941176470588;0.0235294117647058;0.0;1;0;0;0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;24.0;15.0;16.0;17.0;1.0;0.6;0.6153846153846154;0.6296296296296297;1.6;1.0;1.0666666666666669;1.1333333333333333;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.4318181818181818;0.3181818181818182;0.1136363636363636;0.0454545454545454;0.0909090909090909;0;0;1;1
4.0;1.0;0.0;0.0;1.0;0.4166666666666667;0.0;0.0;1.0;9.0;15.0;16.0;29.0;0.4285714285714285;0.46875;0.4848484848484848;0.8529411764705882;1.0;1.6666666666666667;1.7777777777777777;3.2222222222222223;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.3235294117647059;0.3725490196078431;0.1666666666666666;0.0;0.1372549019607843;0;1;0;0
5.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.6666666666666666;14.0;24.0;16.0;23.0;0.4827586206896552;0.8;0.5161290322580645;0.71875;1.0;1.7142857142857142;1.1428571428571428;1.6428571428571428;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.4044943820224719;0.3595505617977528;0.1685393258426966;0.0337078651685393;0.0337078651685393;0;0;1;0
3.0;0.0;0.0;1.0;0.0;0.0;0.3636363636363636;1.0;0.0909090909090909;14.0;19.0;27.0;8.0;0.4666666666666667;0.6129032258064516;0.84375;0.3478260869565217;1.75;2.375;3.375;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.3474576271186441;0.4491525423728814;0.135593220338983;0.0;0.0677966101694915;1;0;0;0
4.0;1.0;0.0;1.0;0.0;1.0;0.0909090909090909;0.7272727272727273;0.0;25.0;6.0;24.0;17.0;0.7352941176470589;0.24;0.6666666666666666;0.4594594594594595;4.166666666666667;1.0;4.0;2.833333333333333;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.2966101694915254;0.4745762711864407;0.1694915254237288;0.0169491525423728;0.0423728813559322;0;1;0;0
5.0;1.0;0.0;0.0;0.0;1.0;0.4444444444444444;0.6666666666666666;0.0;23.0;19.0;12.0;17.0;0.696969696969697;0.5588235294117647;0.48;0.4722222222222222;1.9166666666666667;1.5833333333333333;1.0;1.4166666666666667;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.2672413793103448;0.5172413793103449;0.1637931034482758;0.0258620689655172;0.0258620689655172;0;0;1;0
3.0;0.0;0.0;0.0;0.0;0.4;0.0;1.0;0.0;6.0;15.0;21.0;7.0;0.5454545454545454;0.6818181818181818;0.9130434782608696;0.5;1.0;2.5;3.5;1.1666666666666667;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.2095238095238095;0.6571428571428571;0.0666666666666666;0.0380952380952381;0.0285714285714285;1;0;0;0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333332;1.0;1.0666666666666669;1.1333333333333333;0.0;0.0;0.0;0.0;0.31875;0.58125;0.0;0.01875;0.08125;0;1;0;0
3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;26.0;16.0;7.0;0.2666666666666666;1.0;0.5925925925925926;0.3888888888888889;1.0;6.5;4.0;1.75;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.2866666666666667;0.54;0.0733333333333333;0.0;0.1;1;1;0;0
3.0;1.0;1.0;0.0;0.0;1.0;0.7857142857142857;0.0;0.0;18.0;26.0;16.0;7.0;0.6206896551724138;0.65;0.3902439024390244;0.21875;2.571428571428572;3.7142857142857135;2.2857142857142856;1.0;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.2621951219512195;0.4939024390243902;0.1524390243902439;0.0;0.0914634146341463;1;0;0;1
1.0;0.0;0.0;0.0;0.0;0.4;1.0;0.0;0.0;16.0;10.0;16.0;17.0;0.7619047619047619;0.8333333333333334;0.6956521739130435;0.7083333333333334;1.6;1.0;1.6;1.7;2.333333333333333;0.8333333333333334;2.6666666666666665;2.833333333333333;0.0;1.0;0.0;0.0;0.4863013698630137;0.4315068493150685;0.047945205479452;0.0136986301369863;0.0205479452054794;0;0;1;1
3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0;15.0;26.0;7.0;0.2857142857142857;0.6;1.0;0.4117647058823529;1.0;3.75;6.5;1.75;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.4404761904761904;0.4821428571428571;0.0595238095238095;0.0178571428571428;0.0;1;0;0;0
3.0;0.0;0.0;1.0;0.0;0.25;0.0;1.0;0.0;6.0;15.0;24.0;7.0;0.4285714285714285;0.6;0.9230769230769232;0.4117647058823529;1.0;2.5;4.0;1.1666666666666667;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.4166666666666667;0.5059523809523809;0.0595238095238095;0.0059523809523809;0.0119047619047619;1;0;0;1
