Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
0.0;0.0;1.0;1.0;30.0;19.0;1.0;1.0;1.5789473684210529;1.0;1.5;0.95;0.0;0.0;0.0;0.0;0.0;1.0
1.0;1.0;0.7407407407407407;1.0;50.0;34.0;0.6493506493506493;0.6296296296296297;1.4705882352941178;1.0;3.75;0.875;0.0;1.0;1.0;0.0;0.0;1.0
4.0;2.0;1.0;0.3230769230769231;95.0;28.0;0.8189655172413793;0.3010752688172043;3.392857142857143;1.0;3.75;0.875;0.0;1.0;1.0;0.0;0.0;1.0
4.0;3.0;1.0;0.4307692307692308;95.0;35.0;0.7723577235772358;0.35;2.7142857142857144;1.0;3.75;0.875;0.0;1.0;1.0;0.0;0.0;1.0
4.0;4.0;1.0;0.5384615384615384;95.0;42.0;0.7307692307692307;0.3925233644859813;2.261904761904762;1.0;3.75;0.875;0.0;1.0;1.0;0.0;0.0;1.0
8.0;5.0;1.0;0.2753623188405797;168.0;45.0;0.8155339805825242;0.2459016393442623;3.733333333333333;1.0;3.75;0.875;0.0;1.0;1.0;0.0;0.0;1.0
9.0;5.0;1.0;0.2578616352201258;189.0;48.0;0.8217391304347826;0.2318840579710145;3.9375;1.0;3.75;0.875;0.0;1.0;1.0;0.0;0.0;1.0
24.0;17.0;1.0;0.6732954545454546;382.0;256.0;0.617124394184168;0.4210526315789473;1.4921875;1.0;1.5;0.95;0.0;0.0;0.9231974921630094;0.0768025078369906;0.0;0.0
29.0;20.0;1.0;0.6353211009174312;466.0;296.0;0.6271870794078062;0.4043715846994535;1.5743243243243243;1.0;1.5;0.95;0.0;0.0;0.9583333333333334;0.0416666666666666;0.0;1.0
29.0;21.0;1.0;0.6605504587155964;466.0;295.0;0.6180371352785146;0.4035567715458276;1.5796610169491525;1.0;3.75;0.875;0.0;1.0;0.9589403973509932;0.0410596026490066;0.0;1.0
29.0;22.0;1.0;0.676605504587156;466.0;302.0;0.6123521681997371;0.4092140921409214;1.543046357615894;1.0;3.75;0.875;0.0;1.0;0.9593175853018372;0.0406824146981627;0.0;1.0
29.0;23.0;1.0;0.6919540229885057;465.0;308.0;0.6070496083550914;0.414535666218035;1.5097402597402598;1.0;3.75;0.875;0.0;1.0;0.9633507853403142;0.0366492146596858;0.0;1.0
30.0;24.0;1.0;0.6740088105726872;484.0;313.0;0.6126582278481013;0.408083441981747;1.5463258785942493;1.0;3.75;0.875;0.0;1.0;0.9488139825218476;0.0511860174781523;0.0;1.0
35.0;31.0;1.0;0.8571428571428571;541.0;457.0;0.5526046986721144;0.4721074380165289;1.1838074398249452;1.0;1.5;0.95;0.0;0.0;0.9012345679012346;0.0446343779677113;0.0541310541310541;1.0
36.0;32.0;1.0;0.8552380952380952;555.0;456.0;0.5527888446215139;0.4648318042813456;1.2171052631578947;1.0;3.75;0.875;0.0;1.0;0.9035250463821892;0.0435992578849721;0.0528756957328385;1.0
40.0;33.0;1.0;0.7814113597246127;611.0;461.0;0.5737089201877934;0.4424184261036468;1.3253796095444683;1.0;3.75;0.875;0.0;1.0;0.91674047829938;0.0363153232949512;0.0469441984056687;1.0
40.0;33.0;1.0;0.7931034482758621;610.0;467.0;0.5700934579439252;0.44603629417383;1.3062098501070665;1.0;3.75;0.875;0.0;1.0;0.9211691762621788;0.0336581045172719;0.0451727192205491;1.0
40.0;35.0;1.0;0.842560553633218;608.0;506.0;0.5552511415525114;0.466789667896679;1.201581027667984;1.0;1.5;0.95;0.0;0.0;0.9165232358003442;0.036144578313253;0.0473321858864027;1.0
