Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
1.0;3.0;0.6333333333333333;1.0;43.0;72.0;0.589041095890411;0.7912087912087912;1.0;1.6744186046511629;0.96;1.68;0.0;0.0;1.0;0.0;0.0;0;1
2.0;4.0;0.5818181818181818;1.0;56.0;69.0;0.5045045045045045;0.6831683168316832;1.0;1.2321428571428572;1.6;0.9333333333333332;0.0;1.0;1.0;0.0;0.0;0;1
6.0;8.0;0.4592592592592592;1.0;86.0;177.0;0.3891402714932127;0.7405857740585774;1.0;2.058139534883721;0.96;1.68;0.0;0.0;1.0;0.0;0.0;1;0
8.0;7.0;0.7518796992481203;1.0;124.0;175.0;0.4824902723735408;0.6363636363636364;1.0;1.4112903225806452;0.96;1.68;0.0;0.0;1.0;0.0;0.0;1;0
11.0;8.0;1.0;0.913907284768212;175.0;180.0;0.5591054313099042;0.5438066465256798;1.0;1.0285714285714285;0.96;1.68;0.0;0.0;0.9665551839464884;0.0334448160535117;0.0;1;0
12.0;9.0;1.0;0.8461538461538461;181.0;185.0;0.558641975308642;0.5225988700564972;1.0;1.022099447513812;0.9230769230769232;3.230769230769231;1.0;0.0;0.975;0.025;0.0;1;0
14.0;10.0;1.0;0.7238095238095238;234.0;194.0;0.6062176165803109;0.4801980198019802;1.2061855670103092;1.0;0.96;1.68;0.0;0.0;0.9378238341968912;0.0621761658031088;0.0;1;0
23.0;21.0;1.0;0.8979591836734694;367.0;350.0;0.5437037037037037;0.5050505050505051;1.0485714285714285;1.0;0.96;1.68;0.0;0.0;0.9234042553191488;0.0581560283687943;0.0184397163120567;1;0
25.0;23.0;1.0;0.8651399491094147;417.0;382.0;0.5508586525759577;0.4929032258064516;1.0916230366492146;1.0;0.96;1.68;0.0;0.0;0.9409499358151476;0.0449293966623876;0.0141206675224646;1;0
26.0;26.0;1.0;0.946341463414634;422.0;430.0;0.5209876543209877;0.5119047619047619;1.0;1.018957345971564;0.9230769230769232;3.230769230769231;1.0;0.0;0.9591346153846154;0.03125;0.0096153846153846;1;0
27.0;26.0;1.0;0.9192399049881236;433.0;429.0;0.5280487804878049;0.5047058823529412;1.0093240093240092;1.0;0.9230769230769232;3.230769230769231;1.0;0.0;0.964200477326969;0.0274463007159904;0.0083532219570405;1;0
30.0;28.0;1.0;0.871578947368421;499.0;456.0;0.5465498357064622;0.4897959183673469;1.094298245614035;1.0;0.96;1.68;0.0;0.0;0.9427359490986216;0.0307529162248144;0.0265111346765641;0;1
31.0;29.0;1.0;0.8922155688622755;525.0;461.0;0.5401234567901234;0.4792099792099792;1.13882863340564;1.0;1.6;0.9333333333333332;0.0;1.0;0.9239766081871345;0.0263157894736842;0.0497076023391812;0;1
31.0;30.0;1.0;0.92;524.0;474.0;0.532520325203252;0.486652977412731;1.1054852320675106;1.0;1.6;0.9333333333333332;0.0;1.0;0.9284332688588008;0.0241779497098646;0.0473887814313346;0;1
32.0;32.0;1.0;0.9902534113060428;537.0;550.0;0.5138755980861244;0.5174035747883349;1.0;1.0242085661080074;0.96;1.68;0.0;0.0;0.9315693430656934;0.020985401459854;0.0474452554744525;1;0
33.0;33.0;1.0;0.9662288930581614;545.0;557.0;0.5141509433962265;0.5110091743119266;1.0;1.0220183486238532;0.9230769230769232;3.230769230769231;1.0;0.0;0.9332146037399822;0.0204808548530721;0.0463045414069456;1;0
34.0;33.0;1.0;0.9448529411764706;556.0;556.0;0.5196261682242991;0.5054545454545455;1.0;1.0;0.9230769230769232;3.230769230769231;1.0;0.0;0.9264448336252188;0.0227670753064798;0.0507880910683012;1;0
38.0;34.0;1.0;0.8695652173913043;622.0;562.0;0.5446584938704028;0.4844827586206897;1.106761565836299;1.0;0.96;1.68;0.0;0.0;0.9332220367278798;0.020033388981636;0.0467445742904841;1;0
40.0;38.0;1.0;0.8558282208588958;676.0;600.0;0.5478119935170178;0.4792332268370607;1.1266666666666667;1.0;0.96;1.68;0.0;0.0;0.930053804765565;0.0284396617986164;0.0415065334358186;0;1
42.0;40.0;1.0;0.9183976261127595;698.0;661.0;0.5299924069855733;0.4951310861423221;1.0559757942511347;1.0;0.96;1.68;0.0;0.0;0.9396802325581396;0.0239825581395348;0.0363372093023255;1;0
43.0;43.0;1.0;0.9659090909090908;716.0;722.0;0.5128939828080229;0.5063113604488079;1.0;1.0083798882681565;0.9230769230769232;3.230769230769231;1.0;0.0;0.9460013670539986;0.0211893369788106;0.0328092959671907;1;0
