Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
0.0;0.0;1.0;1.0;36.0;34.0;1.0;1.0;1.0588235294117647;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9958720330237358;0.0041279669762641;0.0;0;1
1.0;1.0;0.9;1.0;63.0;40.0;0.6774193548387096;0.5970149253731343;1.575;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9496910856134158;0.0;0.0503089143865842;0;1
0.0;0.0;1.0;1.0;36.0;34.0;1.0;1.0;1.0588235294117647;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9754816112084064;0.0245183887915936;0.0;0;1
1.0;0.0;1.0;0.0909090909090909;47.0;11.0;0.9791666666666666;0.5;4.2727272727272725;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9744075829383886;0.0142180094786729;0.0113744075829383;0;1
0.0;0.0;1.0;1.0;41.0;15.0;0.8913043478260869;0.75;2.7333333333333334;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9864077669902912;0.003883495145631;0.0097087378640776;0;1
0.0;0.0;0.0;1.0;36.0;42.0;0.8181818181818182;1.0;1.0;1.1666666666666667;1.0285714285714285;0.9714285714285714;0.0;0.0;0.9823008849557522;0.0075853350189633;0.0101137800252844;0;1
0.0;1.0;0.1944444444444444;1.0;43.0;46.0;0.5443037974683544;0.8679245283018868;1.0;1.069767441860465;3.272727272727273;0.9090909090909092;0.0;1.0;0.9438339438339438;0.0036630036630036;0.0525030525030525;0;1
0.0;2.0;0.0714285714285714;1.0;39.0;52.0;0.4814814814814814;0.9454545454545454;1.0;1.3333333333333333;3.272727272727273;0.9090909090909092;0.0;1.0;0.9444444444444444;0.0;0.0555555555555555;0;1
0.0;3.0;0.1777777777777777;1.0;44.0;55.0;0.4943820224719101;0.873015873015873;1.0;1.25;3.272727272727273;0.9090909090909092;0.0;1.0;0.932051282051282;0.0;0.0679487179487179;0;1
1.0;0.0;1.0;0.3333333333333333;51.0;15.0;0.9107142857142856;0.5;3.4;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9616564417177914;0.0076687116564417;0.0306748466257668;0;1
1.0;2.0;0.8421052631578947;1.0;52.0;53.0;0.7323943661971831;0.7681159420289855;1.0;1.0192307692307692;1.0285714285714285;0.9714285714285714;0.0;0.0;0.910025706940874;0.0;0.0899742930591259;0;1
0.0;0.0;0.5;1.0;37.0;12.0;0.9487179487179488;0.9230769230769232;3.083333333333333;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9236363636363636;0.0654545454545454;0.0109090909090909;0;1
0.0;0.0;0.0;1.0;36.0;16.0;0.8571428571428571;1.0;2.25;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9490196078431372;0.0274509803921568;0.0235294117647058;0;1
0.0;0.0;0.0;1.0;36.0;18.0;0.8181818181818182;1.0;2.0;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.9076305220883534;0.0602409638554216;0.0321285140562249;0;1
1.0;0.0;1.0;0.0967741935483871;67.0;37.0;0.9571428571428572;0.5441176470588235;1.8108108108108107;1.0;1.0285714285714285;0.9714285714285714;0.0;0.0;0.5512820512820513;0.0128205128205128;0.4358974358974359;0;1
1.0;1.0;1.0;0.9285714285714286;64.0;36.0;0.7111111111111111;0.5625;1.7777777777777777;1.0;3.272727272727273;0.9090909090909092;0.0;1.0;0.431578947368421;0.0;0.5684210526315789;1;1
