P1;2;4;7;0
P2;1;5;6;0
P3;1;5;6;0
P4;1;4;6;0
P5;2;3;7;0
P6;1;3;6;0
P7;1;5;6;0
P8;1;5;6;0
P9;1;3;7;0
P10;2;3;7;0
P11;1;5;6;0
P12;1;3;6;0
P13;2;5;7;0
P14;1;5;7;0
P15;1;4;6;0
P16;2;5;7;0
P17;2;5;7;0
P18;1;5;7;0
P19;1;3;6;0
P20;2;3;7;0
P21;1;5;7;0
P22;1;3;6;0
P23;1;3;7;0
P24;2;3;7;0
P25;2;3;7;0
P26;1;3;6;0
P27;1;4;6;0
P28;1;5;6;0
P29;1;5;6;0
P30;2;3;6;0
P31;2;3;6;0
P32;1;3;7;0
P33;2;5;7;0
P34;1;3;7;0
P35;1;4;6;0
P36;1;3;7;0
P37;2;5;7;0
P38;1;3;7;0
P39;2;3;6;0
P40;2;3;7;0
P41;2;4;6;0
P42;2;4;6;0
P43;1;4;6;0
P44;2;4;6;0
P45;1;3;6;0
P46;2;5;7;0
P47;1;4;6;0
P48;1;5;7;0
P49;1;4;7;0
P50;2;3;7;0
P51;1;5;7;0
P52;1;4;7;0
P53;1;3;6;0
P54;1;3;7;0
P55;2;5;7;0
P56;1;4;6;0
P57;1;5;6;0
P58;1;5;6;0
P59;1;3;7;0
P60;2;4;6;0
P61;2;3;7;0
P62;1;5;6;0
P63;2;5;7;0
P64;2;5;7;0
P65;1;3;7;0
P66;1;4;6;0
P67;1;5;6;0
P68;2;5;7;0
P69;2;3;6;0
P70;2;5;6;0
P71;1;3;7;0
P72;2;5;6;0
P73;2;5;6;0
P74;1;3;7;0
P75;1;3;7;0
P76;1;5;6;0
P77;2;4;6;0
P78;1;5;6;0
P79;2;4;7;0
P80;1;3;7;0
P81;1;3;7;0
P82;1;5;6;0
P83;1;3;7;0
P84;1;3;7;0
P85;1;3;7;0
P86;2;3;6;0
P87;2;4;7;0
P88;2;4;7;0
P89;1;5;6;0
P90;2;3;7;0
P91;2;5;6;0
P92;2;5;6;0
P93;2;3;7;0
P94;1;3;7;0
P95;2;5;6;0
P96;2;3;7;0
P97;2;5;6;0
P98;2;3;7;0
P99;2;3;7;0
P100;2;4;6;0
