P1;2;4;7;0
P2;1;3;7;0
P3;1;5;6;0
P4;2;3;7;0
P5;2;4;7;0
P6;2;3;7;0
P7;1;4;6;0
P8;2;4;7;0
P9;1;3;6;0
P10;2;3;6;0
P11;2;3;6;0
P12;2;4;7;0
P13;1;4;6;0
P14;1;4;6;0
P15;1;4;6;0
P16;1;4;7;0
P17;1;5;6;0
P18;1;4;7;0
P19;2;3;7;0
P20;1;3;6;0
P21;1;4;6;0
P22;1;4;7;0
P23;2;3;7;0
P24;1;4;7;0
P25;2;3;7;0
P26;1;5;6;0
P27;2;3;7;0
P28;1;4;6;0
P29;1;3;7;0
P30;2;3;7;0
P31;1;5;6;0
P32;2;3;7;0
P33;2;3;7;0
P34;2;5;6;0
P35;1;4;7;0
P36;2;4;6;0
P37;2;5;6;0
P38;2;3;6;0
P39;2;4;7;0
P40;2;5;7;0
P41;1;5;6;0
P42;2;4;7;0
P43;1;4;6;0
P44;2;5;6;0
P45;1;3;7;0
P46;1;5;7;0
P47;1;5;7;0
P48;1;3;7;0
P49;1;3;7;0
P50;2;5;6;0
P51;1;3;7;0
P52;2;3;7;0
P53;1;4;6;0
P54;2;3;7;0
P55;1;5;7;0
P56;2;5;7;0
P57;2;4;6;0
P58;2;4;6;0
P59;1;3;6;0
P60;1;3;7;0
P61;2;4;6;0
P62;1;4;6;0
P63;1;3;7;0
P64;2;4;6;0
P65;1;5;6;0
P66;2;5;7;0
P67;1;4;6;0
P68;2;3;7;0
P69;2;5;7;0
P70;1;4;6;0
P71;2;5;6;0
P72;1;3;7;0
P73;2;5;7;0
P74;1;3;7;0
P75;1;4;7;0
P76;2;5;7;0
P77;1;3;6;0
P78;1;3;6;0
P79;1;3;6;0
P80;1;4;7;0
P81;1;3;6;0
P82;2;5;7;0
P83;2;3;7;0
P84;2;3;7;0
P85;2;5;6;0
P86;1;4;7;0
P87;2;4;7;0
P88;1;4;7;0
P89;2;5;6;0
P90;1;4;7;0
P91;1;3;7;0
P92;2;4;7;0
P93;2;5;7;0
P94;2;3;6;0
P95;1;3;6;0
P96;2;3;6;0
P97;2;5;7;0
