Family;Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
5.0;0.0;0.0;0.0;1.0;1.0;1.0;15.0;18.0;21.0;1.0;1.0;1.0;1.0;1.2;1.4;0.9375;1.125;1.3125;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0
2.0;0.0;0.0;1.0;0.0;0.0;1.0;15.0;18.0;41.0;0.42857142857142855;0.47368421052631576;1.0;1.0;1.2;2.7333333333333334;0.9375;1.125;1.3125;0.0;0.0;0.0;0.6491228070175439;0.3508771929824561;0.0;0.0;0.0;0.0
4.0;0.0;0.0;0.0;0.16666666666666666;0.0;1.0;16.0;18.0;27.0;0.7272727272727273;0.72;0.9642857142857143;1.0;1.125;1.6875;0.9375;1.125;1.3125;0.0;0.0;0.0;0.8627450980392157;0.13725490196078433;0.0;0.0;0.0;0.0
3.0;1.0;0.0;0.0;1.0;0.0;0.3333333333333333;30.0;18.0;26.0;0.8571428571428571;0.47368421052631576;0.6341463414634146;1.6666666666666667;1.0;1.4444444444444444;0.9375;1.125;1.3125;0.0;0.0;0.0;0.7014925373134329;0.29850746268656714;0.0;0.0;0.0;1.0
4.0;1.0;1.0;0.0;0.7857142857142857;1.0;0.07142857142857142;21.0;32.0;22.0;0.5833333333333334;0.7272727272727273;0.46808510638297873;1.0;1.5238095238095237;1.0476190476190477;0.9090909090909091;1.6363636363636365;1.9090909090909092;1.0;0.0;0.0;0.5934065934065934;0.2857142857142857;0.12087912087912088;0.0;0.0;0.0
3.0;1.0;1.0;0.0;1.0;0.65;0.0;35.0;25.0;21.0;0.7291666666666666;0.5555555555555556;0.3888888888888889;1.6666666666666667;1.1904761904761905;1.0;1.1538461538461537;0.9230769230769231;1.6153846153846154;0.0;1.0;0.0;0.6260869565217392;0.28695652173913044;0.08695652173913043;0.0;0.0;2.0
3.0;1.0;0.0;1.0;0.9375;0.5;1.0;30.0;20.0;30.0;0.5555555555555556;0.39215686274509803;0.5660377358490566;1.5;1.0;1.5;1.1538461538461537;0.9230769230769231;1.0769230769230769;0.0;1.0;1.0;0.5625;0.3046875;0.1328125;0.0;0.0;1.0
2.0;0.0;0.0;0.0;0.5454545454545454;1.0;0.6363636363636364;21.0;29.0;28.0;0.5384615384615384;0.6904761904761905;0.6222222222222222;1.0;1.380952380952381;1.3333333333333333;0.9375;1.125;1.3125;0.0;0.0;0.0;0.6312056737588653;0.1702127659574468;0.19858156028368795;0.0;0.0;1.0
2.0;0.0;1.0;0.0;0.041666666666666664;1.0;0.08333333333333333;16.0;36.0;23.0;0.38095238095238093;0.9230769230769231;0.4791666666666667;1.0;2.25;1.4375;1.1538461538461537;0.9230769230769231;1.6153846153846154;0.0;1.0;0.0;0.6171875;0.2109375;0.1171875;0.015625;0.0390625;2.0
5.0;0.0;1.0;1.0;0.0;1.0;0.9565217391304348;15.0;41.0;43.0;0.25;0.6507936507936508;0.6515151515151515;1.0;2.7333333333333334;2.8666666666666667;0.9375;1.125;1.3125;0.0;0.0;0.0;0.5935483870967742;0.2903225806451613;0.08387096774193549;0.0064516129032258064;0.025806451612903226;0.0
