Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.0714285714285714;1.1428571428571428;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8668831168831169;0.1331168831168831;0.0;0.0;0.0;0.0
1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;15.0;16.0;17.0;1.0;0.7894736842105263;0.8;0.8095238095238095;1.0;1.875;2.0;2.125;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.8341708542713567;0.15577889447236182;0.010050251256281407;0.0;0.0;0.0
3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;22.0;15.0;16.0;17.0;1.0;0.6521739130434783;0.6666666666666666;0.68;1.4666666666666666;1.0;1.0666666666666667;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8258706467661692;0.15422885572139303;0.01990049751243781;0.0;0.0;1.0
3.0;1.0;1.0;0.0;0.0;0.46153846153846156;1.0;0.0;0.0;20.0;18.0;16.0;17.0;0.6060606060606061;0.75;0.45714285714285713;0.4722222222222222;1.25;1.125;1.0;1.0625;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8287671232876712;0.1278538812785388;0.04337899543378995;0.0;0.0;3.0
3.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;1.0;14.0;6.0;16.0;12.0;0.7;0.5454545454545454;0.7272727272727273;0.9230769230769231;2.3333333333333335;1.0;2.6666666666666665;2.0;2.3333333333333335;0.8333333333333334;2.6666666666666665;1.1666666666666667;0.0;1.0;0.0;1.0;0.8459821428571429;0.11383928571428571;0.013392857142857142;0.0;0.026785714285714284;3.0
3.0;0.0;0.0;0.0;1.0;0.0;0.08333333333333333;0.0;1.0;14.0;6.0;16.0;19.0;0.5185185185185185;0.3333333333333333;0.5517241379310345;0.95;2.3333333333333335;1.0;2.6666666666666665;3.1666666666666665;2.3333333333333335;0.8333333333333334;2.6666666666666665;1.1666666666666667;0.0;1.0;0.0;1.0;0.832967032967033;0.11208791208791209;0.02857142857142857;0.0;0.026373626373626374;0.0
4.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.8461538461538461;27.0;15.0;16.0;28.0;0.7105263157894737;0.38461538461538464;0.4;0.6829268292682927;1.8;1.0;1.0666666666666667;1.8666666666666667;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8288100208768268;0.10020876826722339;0.05010438413361169;0.0;0.020876826722338204;1.0
4.0;0.0;0.0;0.0;0.0;0.6;1.0;0.0;0.2;17.0;10.0;16.0;18.0;0.7391304347826086;0.7142857142857143;0.64;0.6923076923076923;1.7;1.0;1.6;1.8;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8869257950530035;0.07597173144876325;0.015901060070671377;0.0;0.02120141342756184;2.0
3.0;0.0;0.0;1.0;0.0;0.13333333333333333;0.26666666666666666;1.0;0.0;6.0;19.0;31.0;7.0;0.24;0.5277777777777778;0.8378378378378378;0.25;1.0;3.1666666666666665;5.166666666666667;1.1666666666666667;0.8;3.0;3.2;1.4;1.0;0.0;0.0;1.0;0.8741258741258742;0.07167832167832168;0.03671328671328671;0.0;0.017482517482517484;0.0
5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;22.0;17.0;0.7;0.7142857142857143;1.0;0.7391304347826086;1.0;1.0714285714285714;1.5714285714285714;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.9036334913112164;0.06477093206951026;0.009478672985781991;0.001579778830963665;0.020537124802527645;0.0
