Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
0.0;0.0;2.0;0.0;0.0384615384615384;1.0;22.0;27.0;40.0;0.4489795918367347;0.5094339622641509;0.975609756097561;1.0;1.2272727272727273;1.818181818181818;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.9465875370919882;0.0200296735905044;0.0333827893175074;1;0;1
0.0;1.0;0.0;0.0;1.0;0.0;22.0;54.0;14.0;0.44;1.0;0.3333333333333333;1.5714285714285714;3.857142857142857;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.9620622568093384;0.0272373540856031;0.0107003891050583;0;1;1
1.0;0.0;0.0;1.0;0.0;0.0;25.0;26.0;14.0;1.0;0.896551724137931;0.8235294117647058;1.7857142857142858;1.8571428571428568;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.94124847001224;0.003671970624235;0.055079559363525;0;0;1
1.0;0.0;1.0;1.0;0.0;0.25;42.0;26.0;7.0;0.8936170212765957;0.5098039215686274;0.2592592592592592;6.0;3.7142857142857135;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.923739237392374;0.030750307503075;0.045510455104551;0;1;1
2.0;0.0;0.0;1.0;0.0;0.0;35.0;26.0;2.0;1.0;0.6666666666666666;0.1333333333333333;17.5;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9139650872817956;0.0162094763092269;0.0698254364089775;0;1;1
3.0;1.0;0.0;0.4705882352941176;1.0;0.0;30.0;21.0;2.0;0.6382978723404256;0.7241379310344828;0.074074074074074;15.0;10.5;1.0;7.333333333333333;1.3333333333333333;0.6666666666666666;0.0;1.0;1.0;0.9241645244215938;0.0321336760925449;0.0437017994858611;0;1;1
1.0;0.0;0.0;1.0;0.0;0.0;31.0;26.0;14.0;1.0;0.7428571428571429;0.6086956521739131;2.2142857142857144;1.8571428571428568;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.934873949579832;0.01890756302521;0.0462184873949579;0;1;1
1.0;1.0;0.0;1.0;0.5555555555555556;0.0;40.0;36.0;2.0;0.8;0.6666666666666666;0.0666666666666666;20.0;18.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.8733333333333333;0.0622222222222222;0.0644444444444444;1;1;1
3.0;0.0;0.0;1.0;0.0769230769230769;0.0;35.0;27.0;2.0;0.9722222222222222;0.675;0.125;17.5;13.5;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9166666666666666;0.034313725490196;0.0490196078431372;1;0;1
1.0;0.0;0.0;1.0;0.0;0.0;26.0;26.0;2.0;1.0;0.8666666666666667;0.3333333333333333;13.0;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9035532994923858;0.0101522842639593;0.0862944162436548;1;0;1
0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;2.0;1.0;1.0;1.0;11.0;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.8622448979591837;0.0;0.1377551020408163;0;0;1
1.0;0.0;0.0;1.0;0.0;0.0;37.0;26.0;2.0;1.0;0.6341463414634146;0.1176470588235294;18.5;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.8412698412698413;0.0396825396825396;0.119047619047619;0;0;1
0.0;1.0;1.0;0.0;1.0;0.1764705882352941;22.0;43.0;17.0;0.5238095238095238;0.9347826086956522;0.5;1.2941176470588236;2.5294117647058822;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.8333333333333334;0.0666666666666666;0.1;0;1;0
0.0;1.0;0.0;0.0;1.0;0.0;22.0;35.0;14.0;0.7096774193548387;1.0;0.6086956521739131;1.5714285714285714;2.5;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.8951612903225806;0.0725806451612903;0.032258064516129;0;0;1
0.0;0.0;1.0;0.0;0.0;1.0;22.0;26.0;7.0;0.8148148148148148;0.8387096774193549;1.0;3.142857142857143;3.7142857142857135;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9509803921568628;0.0490196078431372;0.0;0;0;1
0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;2.0;1.0;1.0;1.0;11.0;13.0;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.6935483870967742;0.0;0.3064516129032258;0;0;1
