Qsize_R6;Qsize_R7;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Exp_Charge__R6;Exp_Charge__R7;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Eff_Gross_R6;Eff_Gross_R7;predFamilies_R6;predFamilies_R7;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
0.0;0.0;1.0;1.0;24.0;33.0;1.0;1.0;1.0;1.375;0.96;1.32;0.0;0.0;0.9906444906444908;0.0093555093555093;0.0;1;0
0.0;1.0;0.25;1.0;29.0;53.0;0.5918367346938775;0.913793103448276;1.0;1.827586206896552;0.96;1.32;0.0;0.0;0.9569811320754718;0.0241509433962264;0.0188679245283018;1;0
1.0;1.0;1.0;0.5263157894736842;28.0;43.0;0.7368421052631579;0.6935483870967742;1.0;1.5357142857142858;0.9;3.3;1.0;0.0;0.9730561970746728;0.0046189376443418;0.0223248652809853;1;0
2.0;1.0;1.0;0.6153846153846154;35.0;49.0;0.6862745098039216;0.6533333333333333;1.0;1.4;0.9;3.3;1.0;0.0;0.9669992325402916;0.0007674597083653;0.032233307751343;1;0
2.0;2.0;1.0;0.8636363636363636;31.0;52.0;0.62;0.7027027027027027;1.0;1.6774193548387095;0.9;3.3;1.0;0.0;0.9603112840466926;0.0077821011673151;0.0319066147859922;0;1
1.0;1.0;0.2972972972972973;1.0;20.0;51.0;0.3508771929824561;0.8225806451612904;1.0;2.55;0.9;1.4;1.0;1.0;0.9461358313817332;0.0163934426229508;0.0374707259953161;1;0
1.0;1.0;0.4137931034482758;1.0;21.0;43.0;0.42;0.7818181818181819;1.0;2.0476190476190474;0.9;1.4;1.0;1.0;0.9536370903277378;0.0135891286970423;0.0327737809752198;1;0
0.0;1.0;0.3684210526315789;1.0;16.0;33.0;0.4571428571428571;0.825;1.0;2.0625;0.9;1.4;1.0;1.0;0.9601659751037344;0.0182572614107883;0.0215767634854771;1;0
1.0;1.0;0.8;1.0;21.0;29.0;0.5833333333333334;0.7073170731707317;1.0;1.380952380952381;0.9;1.4;1.0;1.0;0.9639261744966444;0.0134228187919463;0.0226510067114093;0;1
0.0;1.0;0.32;1.0;17.0;39.0;0.4047619047619047;0.8297872340425532;1.0;2.294117647058824;0.9;1.4;1.0;1.0;0.9644970414201184;0.007607776838546;0.0278951817413355;0;1
2.0;1.0;0.5483870967741935;1.0;41.0;64.0;0.5694444444444444;0.7901234567901234;1.0;1.5609756097560976;0.96;1.32;0.0;0.0;0.955595026642984;0.0017761989342806;0.0426287744227353;1;1
2.0;2.0;1.0;0.8409090909090909;53.0;70.0;0.5888888888888889;0.6140350877192983;1.0;1.320754716981132;0.9;3.3;1.0;0.0;0.9297484822202948;0.0;0.0702515177797051;1;0
1.0;2.0;0.3157894736842105;1.0;21.0;71.0;0.3559322033898305;0.8554216867469879;1.0;3.380952380952381;0.9;3.3;1.0;0.0;0.9397590361445785;0.0139017608897126;0.0463392029657089;1;0
1.0;2.0;0.5862068965517241;1.0;26.0;62.0;0.4727272727272727;0.7848101265822784;1.0;2.3846153846153846;0.9;3.3;1.0;0.0;0.9490566037735848;0.0075471698113207;0.0433962264150943;1;0
1.0;2.0;0.85;1.0;26.0;53.0;0.5652173913043478;0.7571428571428571;1.0;2.0384615384615383;0.9;3.3;1.0;0.0;0.9580487804878048;0.0058536585365853;0.0360975609756097;1;0
2.0;1.0;1.0;0.6842105263157895;28.0;46.0;0.6829268292682927;0.7076923076923077;1.0;1.6428571428571428;0.9;3.3;1.0;0.0;0.968;0.0;0.032;1;0
0.0;0.0;0.0;1.0;9.0;34.0;0.9;1.0;1.0;3.7777777777777777;0.9;3.3;1.0;0.0;0.9922992299229924;0.0066006600660066;0.0011001100110011;1;0
0.0;1.0;0.0;1.0;9.0;65.0;0.2195121951219512;1.0;1.0;7.222222222222222;0.9;3.3;1.0;0.0;0.965065502183406;0.0;0.0349344978165938;1;0
0.0;1.0;0.0;1.0;9.0;56.0;0.28125;1.0;1.0;6.222222222222222;0.9;3.3;1.0;0.0;0.9607843137254902;0.0141612200435729;0.0250544662309368;1;0
0.0;1.0;0.0;1.0;9.0;47.0;0.391304347826087;1.0;1.0;5.222222222222222;0.9;3.3;1.0;0.0;0.979591836734694;0.0045351473922902;0.0158730158730158;1;0
0.0;1.0;0.0;1.0;9.0;56.0;0.28125;1.0;1.0;6.222222222222222;0.9;3.3;1.0;0.0;0.962877030162413;0.0104408352668213;0.0266821345707656;1;0
0.0;2.0;0.0;1.0;24.0;62.0;0.4528301886792453;1.0;1.0;2.583333333333333;0.96;1.32;0.0;0.0;0.9320754716981132;0.0314465408805031;0.0364779874213836;1;0
0.0;2.0;0.25;1.0;29.0;53.0;0.5918367346938775;0.913793103448276;1.0;1.827586206896552;0.96;1.32;0.0;0.0;0.8837209302325582;0.0;0.1162790697674418;1;0
1.0;1.0;1.0;0.9285714285714286;23.0;46.0;0.6388888888888888;0.7666666666666667;1.0;2.0;0.9;3.3;1.0;0.0;0.850828729281768;0.0;0.149171270718232;1;0
0.0;0.0;1.0;1.0;9.0;33.0;1.0;1.0;1.0;3.6666666666666665;0.9;3.3;1.0;0.0;0.954954954954955;0.045045045045045;0.0;1;0
0.0;1.0;0.0;1.0;9.0;58.0;0.2647058823529412;1.0;1.0;6.444444444444445;0.9;3.3;1.0;0.0;0.7983870967741935;0.0;0.2016129032258064;1;0
