Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0
0.0;0.0;1.0;1.0;17.0;36.0;1.0;1.0;1.0;2.117647058823529;0.9444444444444444;2.0;0.0;0.0;0.0;0.0;0.0;1;0
1.0;1.0;0.5333333333333333;1.0;25.0;66.0;0.4545454545454545;0.8048780487804879;1.0;2.64;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
3.0;3.0;0.6909090909090909;1.0;55.0;91.0;0.5;0.7054263565891473;1.0;1.6545454545454543;0.9444444444444444;2.0;0.0;0.0;1.0;0.0;0.0;1;0
4.0;6.0;0.5391304347826087;1.0;79.0;151.0;0.4072164948453608;0.7089201877934272;1.0;1.9113924050632911;0.9444444444444444;2.0;0.0;0.0;1.0;0.0;0.0;0;1
6.0;13.0;0.3253012048192771;1.0;98.0;285.0;0.2824207492795389;0.7786885245901639;1.0;2.9081632653061225;0.9444444444444444;2.0;0.0;0.0;1.0;0.0;0.0;1;0
7.0;13.0;0.4096385542168674;1.0;111.0;285.0;0.3083333333333333;0.7364341085271318;1.0;2.5675675675675675;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
8.0;14.0;0.4230769230769231;1.0;119.0;296.0;0.3139841688654353;0.729064039408867;1.0;2.4873949579831933;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
9.0;14.0;0.4576923076923077;1.0;128.0;296.0;0.3298969072164948;0.7132530120481928;1.0;2.3125;0.9;3.6;1.0;0.0;1.0;0.0;0.0;1;0
12.0;17.0;0.5107033639143731;1.0;184.0;363.0;0.360078277886497;0.6849056603773584;1.0;1.9728260869565213;0.9444444444444444;2.0;0.0;0.0;0.9762845849802372;0.0237154150197628;0.0;1;0
21.0;19.0;0.7310704960835509;1.0;297.0;419.0;0.4367647058823529;0.5994277539341917;1.0;1.410774410774411;0.9444444444444444;2.0;0.0;0.0;0.9608695652173912;0.0391304347826087;0.0;1;0
22.0;19.0;0.7585301837270341;1.0;298.0;417.0;0.438880706921944;0.5906515580736544;1.0;1.3993288590604027;0.9;3.6;1.0;0.0;0.9668109668109668;0.0331890331890331;0.0;1;0
23.0;22.0;0.688195991091314;1.0;326.0;485.0;0.4206451612903226;0.610831234256927;1.0;1.487730061349693;0.9444444444444444;2.0;0.0;0.0;0.9755469755469756;0.0244530244530244;0.0;0;1
30.0;29.0;0.7081081081081081;1.0;410.0;591.0;0.4248704663212435;0.600609756097561;1.0;1.4414634146341463;0.9444444444444444;2.0;0.0;0.0;0.9432835820895522;0.0079601990049751;0.0487562189054726;1;0
31.0;31.0;0.6639209225700164;1.0;412.0;643.0;0.4043179587831207;0.6147227533460803;1.0;1.5606796116504855;0.9;3.6;1.0;0.0;0.949248120300752;0.006578947368421;0.044172932330827;1;0
32.0;32.0;0.6550079491255962;1.0;421.0;665.0;0.4009523809523809;0.617455896007428;1.0;1.5795724465558194;0.9;3.6;1.0;0.0;0.9506849315068492;0.0063926940639269;0.0429223744292237;1;0
35.0;33.0;0.7004680187207488;1.0;466.0;677.0;0.4209575429087624;0.6012433392539964;1.0;1.4527896995708154;0.9444444444444444;2.0;0.0;0.0;0.956140350877193;0.0131578947368421;0.0307017543859649;1;0
37.0;34.0;0.7511664074650077;1.0;500.0;679.0;0.4374453193350831;0.5843373493975904;1.0;1.358;0.9444444444444444;2.0;0.0;0.0;0.9518174133558748;0.007607776838546;0.040574809805579;1;0
38.0;34.0;0.7729393468118196;1.0;506.0;679.0;0.4403829416884247;0.5773809523809523;1.0;1.341897233201581;0.9;3.6;1.0;0.0;0.9523809523809524;0.0075187969924812;0.0401002506265664;1;0
39.0;34.0;0.7866043613707165;1.0;514.0;678.0;0.444636678200692;0.5731191885038038;1.0;1.3190661478599222;0.9;3.6;1.0;0.0;0.95503746877602;0.0066611157368859;0.038301415487094;1;0
55.0;40.0;0.9238451935081148;1.0;757.0;837.0;0.4858793324775353;0.5307545973367153;1.0;1.105680317040951;0.9444444444444444;2.0;0.0;0.0;0.9494762784966112;0.0147874306839186;0.0357362908194701;1;0
