Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource_0.0;Selected Resource_1.0;Selected Resource_2.0
0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;14.0;1.0;1.0;1.0;1.5714285714285714;1.8571428571428568;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.9629629629629628;0.0;0.037037037037037;0;1;1
0.0;0.0;1.0;0.0;0.0;1.0;22.0;26.0;8.0;0.7857142857142857;0.8125;1.0;2.75;3.25;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9646756583172768;0.0038535645472061;0.031470777135517;0;0;1
0.0;0.0;2.0;0.0;0.0;1.0;22.0;26.0;9.0;0.7586206896551724;0.7878787878787878;1.0;2.4444444444444446;2.888888888888889;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9644932214331828;0.0045190445448676;0.0309877340219496;1;1;1
0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;14.0;1.0;1.0;1.0;1.5714285714285714;1.8571428571428568;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.9563758389261744;0.0;0.0436241610738255;0;1;0
0.0;0.0;0.0;1.0;1.0;1.0;22.0;4.0;14.0;1.0;1.0;1.0;5.5;1.0;3.5;4.4;0.8;2.8;0.0;1.0;0.0;0.9584541062801932;0.0;0.0415458937198067;0;0;1
0.0;1.0;0.0;0.0;1.0;0.0;22.0;47.0;2.0;0.5116279069767442;1.0;0.0869565217391304;11.0;23.5;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.9699792960662524;0.0217391304347826;0.0082815734989648;0;0;1
1.0;0.0;0.0;1.0;0.0;0.3571428571428571;36.0;26.0;19.0;0.8780487804878049;0.5777777777777777;0.5757575757575758;1.894736842105263;1.368421052631579;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.9492671927846674;0.0214205186020293;0.0293122886133032;0;1;0
1.0;1.0;0.0;0.2941176470588235;1.0;0.0;27.0;21.0;14.0;0.6136363636363636;0.8076923076923077;0.3888888888888889;1.9285714285714288;1.5;1.0;4.4;0.8;2.8;0.0;1.0;0.0;0.947856315179606;0.0254924681344148;0.0266512166859791;0;1;0
1.0;0.0;0.0;1.0;0.5714285714285714;0.0;29.0;8.0;14.0;0.8787878787878788;0.5333333333333333;0.56;3.625;1.0;1.75;4.4;0.8;2.8;0.0;1.0;0.0;0.9657701711491442;0.0134474327628361;0.0207823960880195;1;0;0
1.0;0.0;0.0;1.0;0.0;0.0;24.0;4.0;14.0;1.0;0.1904761904761904;0.4516129032258064;6.0;1.0;3.5;1.4;0.8;2.8;1.0;1.0;0.0;0.915576694411415;0.0202140309155766;0.0642092746730083;1;0;1
2.0;0.0;0.0;1.0;0.0;0.0;27.0;4.0;14.0;1.0;0.1666666666666666;0.4117647058823529;6.75;1.0;3.5;1.4;0.8;2.8;1.0;1.0;0.0;0.9210526315789472;0.0239234449760765;0.055023923444976;0;1;0
0.0;1.0;0.0;0.0;1.0;0.0;22.0;35.0;14.0;0.7096774193548387;1.0;0.6086956521739131;1.5714285714285714;2.5;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.9098712446351932;0.01931330472103;0.0708154506437768;1;0;1
0.0;1.0;1.0;0.0;1.0;0.2777777777777778;22.0;44.0;7.0;0.4888888888888889;0.8979591836734694;0.28;3.142857142857143;6.285714285714286;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.8982300884955752;0.0508849557522123;0.0508849557522123;1;0;1
1.0;2.0;0.0;0.65;1.0;0.0;20.0;46.0;2.0;0.5;0.7796610169491526;0.0571428571428571;10.0;23.0;1.0;2.333333333333333;8.666666666666666;0.6666666666666666;1.0;0.0;1.0;0.8458149779735683;0.0726872246696035;0.0814977973568281;1;0;1
0.0;0.0;0.0;1.0;1.0;1.0;22.0;26.0;14.0;1.0;1.0;1.0;1.5714285714285714;1.8571428571428568;1.0;1.4666666666666666;1.7333333333333334;0.9333333333333332;0.0;0.0;0.0;0.7490636704119851;0.0;0.250936329588015;1;0;1
0.0;0.0;1.0;0.0;1.0;1.0;22.0;31.0;7.0;0.6875;0.8611111111111112;0.5833333333333334;3.142857142857143;4.428571428571429;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.7658730158730159;0.0396825396825396;0.1944444444444444;1;0;1
0.0;1.0;0.0;0.0;1.0;0.0;22.0;37.0;2.0;0.6666666666666666;1.0;0.1538461538461538;11.0;18.5;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.5445544554455446;0.1089108910891089;0.3465346534653465;0;1;1
0.0;0.0;0.0;0.0;1.0;0.0;22.0;29.0;2.0;0.88;1.0;0.4;11.0;14.5;1.0;7.333333333333333;8.666666666666666;0.6666666666666666;0.0;0.0;1.0;0.515625;0.046875;0.4375;1;0;1
