Qsize_R3;Qsize_R4;Qsize_R5;Cur_Charge_comparable_R3;Cur_Charge_comparable_R4;Cur_Charge_comparable_R5;Exp_Charge__R3;Exp_Charge__R4;Exp_Charge__R5;Exp_ChargeRates_R3;Exp_ChargeRates_R4;Exp_ChargeRates_R5;Exp_Charge__comparable_R3;Exp_Charge__comparable_R4;Exp_Charge__comparable_R5;Eff_Gross_R3;Eff_Gross_R4;Eff_Gross_R5;predFamilies_R3;predFamilies_R4;predFamilies_R5;Cell%__c1;Cell%__c2;Cell%__c3;Selected Resource
0.0;0.0;0.0;1.0;1.0;1.0;12.0;19.0;23.0;1.0;1.0;1.0;1.0;1.5833333333333333;1.9166666666666667;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;0.1052631578947368;0.0;1.0;4.0;19.0;42.0;0.1739130434782608;0.475;0.9545454545454546;1.0;4.75;10.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9707927677329624;0.0292072322670375;0.0;1.0
2.0;0.0;0.0;1.0;0.0;0.0;44.0;19.0;23.0;1.0;0.3725490196078431;0.4181818181818181;2.3157894736842106;1.0;1.2105263157894737;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;0.961884961884962;0.0221760221760221;0.0159390159390159;0.0
0.0;1.0;0.0;0.0;1.0;0.0;2.0;43.0;23.0;0.0769230769230769;1.0;0.4893617021276595;1.0;21.5;11.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9322289156626506;0.0180722891566265;0.0496987951807228;0.0
0.0;1.0;0.0;0.0;1.0;0.0;2.0;41.0;23.0;0.0833333333333333;1.0;0.5111111111111111;1.0;20.5;11.5;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.939969604863222;0.0167173252279635;0.0433130699088145;0.0
0.0;1.0;0.0;0.0;1.0;0.0;12.0;33.0;23.0;0.4615384615384615;1.0;0.6216216216216216;1.0;2.75;1.9166666666666667;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;0.9708994708994708;0.0185185185185185;0.0105820105820105;0.0
1.0;1.0;0.0;0.7142857142857143;1.0;0.0;7.0;26.0;23.0;0.5;0.8387096774193549;0.6571428571428571;1.0;3.7142857142857135;3.2857142857142856;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.9822646657571624;0.0163710777626193;0.0013642564802182;2.0
0.0;0.0;1.0;0.1;0.2;1.0;4.0;23.0;23.0;0.1428571428571428;0.5111111111111111;0.7931034482758621;1.0;5.75;5.75;0.6666666666666666;6.333333333333333;1.0;1.0;0.0;1.0;0.9648648648648648;0.0351351351351351;0.0;2.0
0.0;0.0;2.0;0.0;0.0;1.0;2.0;19.0;17.0;0.125;0.5757575757575758;1.0;1.0;9.5;8.5;0.6666666666666666;6.333333333333333;1.0;1.0;0.0;1.0;0.934228187919463;0.0187919463087248;0.046979865771812;2.0
0.0;0.0;3.0;0.0;0.0;1.0;2.0;19.0;19.0;0.1111111111111111;0.5428571428571428;1.0;1.0;9.5;9.5;0.6666666666666666;6.333333333333333;1.0;1.0;0.0;1.0;0.9345794392523364;0.0213618157543391;0.0440587449933244;0.0
0.0;0.0;1.0;0.0;0.0;1.0;2.0;19.0;8.0;0.2857142857142857;0.7916666666666666;1.0;1.0;9.5;4.0;0.6666666666666666;6.333333333333333;1.0;1.0;0.0;1.0;0.9549295774647888;0.0070422535211267;0.0380281690140845;0.0
0.0;0.0;0.0;1.0;1.0;1.0;2.0;19.0;3.0;1.0;1.0;1.0;1.0;9.5;1.5;0.6666666666666666;6.333333333333333;1.0;1.0;0.0;1.0;0.9437229437229436;0.0;0.0562770562770562;0.0
0.0;0.0;0.0;1.0;1.0;1.0;2.0;19.0;3.0;1.0;1.0;1.0;1.0;9.5;1.5;0.6666666666666666;6.333333333333333;1.0;1.0;0.0;1.0;0.9516616314199396;0.0;0.0483383685800604;2.0
0.0;0.0;0.0;0.0;1.0;0.0;2.0;20.0;3.0;0.6666666666666666;1.0;0.75;1.0;10.0;1.5;0.6666666666666666;6.333333333333333;1.0;1.0;0.0;1.0;0.959119496855346;0.0015723270440251;0.0393081761006289;0.0
1.0;1.0;0.0;1.0;0.3809523809523809;0.0;33.0;27.0;3.0;0.8048780487804879;0.5625;0.09375;11.0;9.0;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9352159468438538;0.048172757475083;0.0166112956810631;2.0
2.0;0.0;0.0;1.0;0.0;0.0;27.0;19.0;3.0;1.0;0.5588235294117647;0.1666666666666666;9.0;6.333333333333333;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9195402298850576;0.0246305418719211;0.0558292282430213;2.0
1.0;0.0;0.0;1.0;0.0;0.0;17.0;19.0;3.0;1.0;0.7916666666666666;0.375;5.666666666666667;6.333333333333333;1.0;3.0;4.75;0.75;0.0;0.0;1.0;0.9528795811518324;0.0087260034904013;0.0383944153577661;2.0
0.0;0.0;1.0;0.0;0.0;1.0;12.0;19.0;31.0;0.6;0.7037037037037037;1.0;1.0;1.5833333333333333;2.583333333333333;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;0.8668407310704961;0.02088772845953;0.1122715404699739;0.0
0.0;1.0;0.0;0.125;1.0;0.0;4.0;35.0;23.0;0.2;0.945945945945946;0.5609756097560976;1.0;8.75;5.75;0.6666666666666666;6.333333333333333;7.666666666666667;1.0;0.0;0.0;0.8638888888888889;0.05;0.0861111111111111;2.0
0.0;0.0;1.0;0.0;0.4615384615384615;1.0;2.0;25.0;16.0;0.0952380952380952;0.6578947368421053;0.7272727272727273;1.0;12.5;8.0;0.6666666666666666;6.333333333333333;1.0;1.0;0.0;1.0;0.8369565217391305;0.0516304347826086;0.1114130434782608;0.0
1.0;0.0;0.0;1.0;0.0;0.0;27.0;19.0;23.0;1.0;0.5588235294117647;0.6052631578947368;1.4210526315789471;1.0;1.2105263157894737;0.9230769230769232;1.4615384615384617;1.7692307692307692;0.0;0.0;0.0;0.4835164835164835;0.1648351648351648;0.3516483516483517;1.0
0.0;0.0;0.0;1.0;1.0;1.0;12.0;7.0;23.0;1.0;1.0;1.0;1.7142857142857142;1.0;3.2857142857142856;1.5;0.875;2.875;0.0;1.0;0.0;0.15;0.0;0.85;1.0
0.0;0.0;0.0;1.0;1.0;1.0;12.0;7.0;23.0;1.0;1.0;1.0;1.7142857142857142;1.0;3.2857142857142856;1.5;0.875;2.875;0.0;1.0;0.0;0.0;0.0;1.0;0.0
